"goal","element","element_name","species_diversity_3nm","protection_amp","fishing_reg","protection_ramsar","po_cleaning_beach","cc_consumption_ernc","cc_investigation","po_compliance_standards","wgi_all","sp_management_plan","aquaculture_auditing"
"AO",,,"x","x","x",,,,"x",,"x","x",
"CP","Macrocystis",,"x","x","x",,,,"x",,"x",,
"CP","Tepu",,,"x",,"x",,,,,"x",,
"CP","Marismas",,"x","x",,"x","x",,,,"x",,
"CP","Playas",,,"x",,"x",,,,,"x",,
"CS",,,,"x","x",,,,"x",,"x",,
"CW",,,,"x",,,"x",,"x","x","x",,"x"
"ECO","Transporte",,,"x",,,,,,,"x",,
"ECO","Alojamiento",,,,"x",,,,,,"x",,
"ECO","Pesca",,"x","x","x",,,,"x",,"x","x",
"ECO","Acuicultura",,,,,,,,"x",,"x",,"x"
"ECO","Turismo",,"x","x",,"x","x","x","x","x","x",,"x"
"MAR","Maricultura",,,,,,,,"x",,"x",,"x"
"FIS","Pesca",,"x","x","x",,,,"x",,"x","x",
"SPP",,,"x","x","x","x","x",,"x","x","x","x","x"
"ICO",,,"x","x","x","x",,,"x",,"x","x","x"
"LSP","inland",,,"x",,"x","x",,,,"x","x","x"
"LSP","offshore",,,"x",,"x",,,,"x","x","x",
"NP","Aceite",,"x","x","x",,,,"x",,"x","x",
"NP","Harina",,"x","x","x",,,,"x",,"x","x",
"NP","Algas",,,,"x","x",,,"x",,"x",,
"TR",,,"x","x",,"x","x","x","x","x","x",,"x"
"LIV","Transporte",,,"x",,,,,,,"x",,
"LIV","Alojamiento",,,,"x",,,,,,"x",,
"LIV","Pesca",,"x","x","x",,,,"x",,"x","x",
"LIV","Acuicultura",,,,,,,,"x",,"x",,"x"
"LIV","Turismo",,"x","x",,"x","x","x","x","x","x",,"x"
"HAB","MY",,"x","x",,,,,"x",,"x",,
"HAB","AF",,"x","x","x",,,"x","x",,"x",,"x"
"HAB","CA",,"x","x","x",,,"x","x",,"x",,"x"
"HAB","CI",,"x","x","x","x","x",,"x","x","x","x","x"
"HAB","FB",,"x","x","x","x","x",,"x","x","x","x","x"
"HAB","FD",,"x","x","x",,"x",,"x",,"x",,"x"
"HAB","CE",,"x","x",,,"x",,"x",,"x",,
"HAB","EM",,"x","x",,"x","x",,"x","x","x",,
"HAB","Gp",,"x","x",,,,,"x","x","x",,
