"goal","element","element_name","po_chemical","po_pathogen","po_pathogens_fan","po_nutrients_3nm","po_trash","sp_exhaust","hd_marine","hd_coastal","hd_traffic","hd_density","fp_ilegal","fp_unstt","cc_sst","cc_acid","cc_slr","ss_wgi"
"AO",,,1,2,2,1,1,2,2,1,1,1,1,2,2,1,,2
"CP","Macroalgas",,,,,,,,,1,1,1,2,NA,2,2,NA,2
"CP","Tepu",,,,,,,,,2,,,,,2,,3,3
"CP","Marismas",NA,1,NA,NA,2,1,NA,NA,3,NA,NA,NA,NA,2,2,3,3
"CP","Playas",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,3,3
"CS",NA,NA,1,NA,NA,1,NA,NA,3,NA,NA,1,NA,NA,1,1,NA,2
"CW",NA,NA,3,2,2,3,3,NA,3,NA,1,2,NA,NA,NA,NA,NA,3
"ECO","Transporte maritimo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
"ECO","Alojamiento",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA
"ECO","Pesca",NA,NA,NA,2,NA,NA,NA,2,NA,NA,2,3,NA,NA,2,NA,2
"ECO","Acuicultura",NA,NA,NA,2,1,NA,NA,2,NA,NA,NA,NA,NA,3,2,NA,1
"ECO","Turismo",NA,NA,1,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,2,3
"MAR","Maricultura",NA,1,2,3,1,1,1,1,NA,NA,NA,NA,NA,1,2,NA,2
"FIS","Pesca",NA,1,2,2,1,1,2,2,1,NA,2,1,2,2,1,NA,2
"SPP",NA,NA,2,NA,3,1,2,2,3,3,2,2,1,1,2,2,2,1
"ICO",NA,NA,2,NA,3,1,2,2,3,3,2,3,1,1,2,2,2,2
"LSP","Inland",NA,1,1,NA,1,1,1,3,NA,2,2,2,2,NA,NA,NA,3
"LSP","Offshore",NA,1,1,NA,2,2,1,NA,3,NA,NA,2,2,NA,NA,2,3
"NP","Aceite",NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,1,NA,1
"NP","Harina",NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,1,NA,1
"NP","Algas",NA,1,1,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,2,NA,1
"TR",NA,NA,1,2,NA,1,3,NA,NA,3,1,1,NA,NA,1,NA,1,2
"LIV","Transporte maritimo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
"LIV","Alojamiento",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA
"LIV","Pesca",NA,NA,NA,2,NA,NA,NA,2,NA,NA,2,3,NA,NA,2,NA,2
"LIV","Acuicultura",NA,NA,NA,2,1,NA,NA,2,NA,NA,NA,NA,NA,3,2,NA,1
"LIV","Turismo",NA,NA,1,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,2,3
"HAB","MY",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,2,2,NA,2
"HAB","AF",NA,NA,NA,NA,NA,1,NA,3,1,1,NA,NA,NA,3,2,NA,2
"HAB","CA",NA,NA,NA,3,NA,NA,NA,2,1,NA,NA,NA,NA,2,2,NA,2
"HAB","CI",NA,2,1,3,2,2,1,2,2,1,2,2,2,1,2,1,2
"HAB","FB",NA,2,NA,NA,2,2,NA,3,NA,NA,2,2,1,2,2,NA,2
"HAB","FD",NA,1,NA,NA,1,2,NA,2,NA,NA,2,1,1,1,2,NA,2
"HAB","CE",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1
"HAB","EM",NA,NA,NA,1,1,2,NA,NA,1,1,NA,NA,NA,1,1,2,2
"HAB","Gp",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
