"layer_name","scenario_year","data_year"
"cc_acid",2021,2021
"cc_slr",2021,2021
"cc_sst",2021,2021
"cc_sst",2021,2021
"cw_chemical_trend",2021,2021
"cw_nutrient_trend",2021,2021
"cw_pathogen_trend",2021,2021
"cw_coastalpopn_trend",2021,2021
"fis_b_bmsy",2017,2017
"fis_b_bmsy",2018,2018
"fis_b_bmsy",2019,2019
"fis_b_bmsy",2020,2020
"fis_b_bmsy",2021,2021
"fis_landings",2017,2017
"fis_landings",2018,2018
"fis_landings",2019,2019
"fis_landings",2020,2020
"fis_landings",2021,2021
"fp_wildcaught_weight",2021,2021
"hab_all",2021,2021
"hab_sup",2021,2021
"cp_habitat",2017,2017
"cp_habitat",2018,2018
"cp_habitat",2019,2019
"cp_habitat",2020,2020
"cp_habitat",2021,2021
"cp_habitat_health",2017,2017
"cp_habitat_health",2018,2018
"cp_habitat_health",2019,2019
"cp_habitat_health",2020,2020
"cp_habitat_health",2021,2021
"cp_habitat_trend",2021,2021
"hd_marine",2021,2021
"hd_coastal",2021,2021
"hd_density",2021,2021
"hd_traffic",2021,2021
"hd_infa",2021,2021
"ico_spp_extinction_status",2021,2021
"ico_spp_popn_trend",2021,2021
"lsp_prot_area_inland1mn",2017,2017
"lsp_prot_area_inland1mn",2018,2018
"lsp_prot_area_inland1mn",2019,2019
"lsp_prot_area_inland1mn",2020,2020
"lsp_prot_area_inland1mn",2021,2021
"lsp_prot_area_offshore3mn",2017,2017
"lsp_prot_area_offshore3mn",2018,2018
"lsp_prot_area_offshore3mn",2019,2019
"lsp_prot_area_offshore3mn",2020,2020
"lsp_prot_area_offshore3mn",2021,2021
"mar_harvest_tonnes",2014,2014
"mar_harvest_tonnes",2015,2015
"mar_harvest_tonnes",2016,2016
"mar_harvest_tonnes",2017,2017
"mar_harvest_tonnes",2018,2018
"mar_harvest_tonnes",2019,2019
"mar_harvest_tonnes",2020,2020
"mar_harvest_tonnes",2021,2021
"mar_sustainability",2021,2021
"np_harvest_product_weight",2017,2017
"np_harvest_product_weight",2018,2018
"np_harvest_product_weight",2019,2019
"np_harvest_product_weight",2020,2020
"np_harvest_product_weight",2021,2021
"np_harvest_tonnes",2017,2017
"np_harvest_tonnes",2018,2018
"np_harvest_tonnes",2019,2019
"np_harvest_tonnes",2020,2020
"np_harvest_tonnes",2021,2021
"np_harvest_tonnes_relative",2017,2017
"np_harvest_tonnes_relative",2018,2018
"np_harvest_tonnes_relative",2019,2019
"np_harvest_tonnes_relative",2020,2020
"np_harvest_tonnes_relative",2021,2021
"np_sust",2017,2021
"np_sust",2018,2021
"np_sust",2019,2021
"np_sust",2020,2021
"np_sust",2021,2021
"po_chemical",2021,2021
"po_nutrients_3nm",2021,2021
"po_pathogen",2021,2021
"po_pathogens_fan",2021,2021
"po_trash",2021,2021
"species_diversity_3nm",2021,2021
"spp_status",2021,2021
"spp_trend",2021,2021
"ss_wgi",2021,2021
"tr_jobs_pct_tourism",2017,2017
"tr_jobs_pct_tourism",2018,2018
"tr_jobs_pct_tourism",2019,2019
"tr_jobs_pct_tourism",2020,2020
"tr_jobs_pct_tourism",2021,2021
"tr_sustainability",2017,2021
"tr_sustainability",2018,2021
"tr_sustainability",2019,2021
"tr_sustainability",2020,2021
"tr_sustainability",2021,2021
"tr_factor",2021,2021
"wgi_all",2021,2021
"ao_coef_gini",1997,1997
"ao_coef_gini",1998,1998
"ao_coef_gini",1999,1999
"ao_coef_gini",2000,2000
"ao_coef_gini",2001,2001
"ao_coef_gini",2002,2002
"ao_coef_gini",2003,2003
"ao_coef_gini",2004,2004
"ao_coef_gini",2005,2005
"ao_coef_gini",2006,2006
"ao_coef_gini",2007,2007
"ao_coef_gini",2008,2008
"ao_coef_gini",2009,2009
"ao_coef_gini",2010,2010
"ao_coef_gini",2011,2011
"ao_coef_gini",2012,2012
"ao_coef_gini",2013,2013
"ao_coef_gini",2014,2014
"ao_coef_gini",2015,2015
"ao_coef_gini",2016,2016
"ao_coef_gini",2017,2017
"ao_coef_gini",2018,2018
"ao_coef_gini",2019,2019
"ao_coef_gini",2020,2020
"ao_coef_gini",2021,2021
"ao_coef_sust",1997,1997
"ao_coef_sust",1998,1998
"ao_coef_sust",1999,1999
"ao_coef_sust",2000,2000
"ao_coef_sust",2001,2001
"ao_coef_sust",2002,2002
"ao_coef_sust",2003,2003
"ao_coef_sust",2004,2004
"ao_coef_sust",2005,2005
"ao_coef_sust",2006,2006
"ao_coef_sust",2007,2007
"ao_coef_sust",2008,2008
"ao_coef_sust",2009,2009
"ao_coef_sust",2010,2010
"ao_coef_sust",2011,2011
"ao_coef_sust",2012,2012
"ao_coef_sust",2013,2013
"ao_coef_sust",2014,2014
"ao_coef_sust",2015,2015
"ao_coef_sust",2016,2016
"ao_coef_sust",2017,2017
"ao_coef_sust",2018,2018
"ao_coef_sust",2019,2019
"ao_coef_sust",2020,2020
"ao_coef_sust",2021,2021
"ao_rpa",1992,1992
"ao_rpa",1993,1993
"ao_rpa",1994,1994
"ao_rpa",1995,1995
"ao_rpa",1996,1996
"ao_rpa",1997,1997
"ao_rpa",1998,1998
"ao_rpa",1999,1999
"ao_rpa",2000,2000
"ao_rpa",2001,2001
"ao_rpa",2002,2002
"ao_rpa",2003,2003
"ao_rpa",2004,2004
"ao_rpa",2005,2005
"ao_rpa",2006,2006
"ao_rpa",2007,2007
"ao_rpa",2008,2008
"ao_rpa",2009,2009
"ao_rpa",2010,2010
"ao_rpa",2011,2011
"ao_rpa",2012,2012
"ao_rpa",2013,2013
"ao_rpa",2014,2014
"ao_rpa",2015,2015
"ao_rpa",2016,2016
"ao_rpa",2017,2017
"ao_rpa",2018,2018
"ao_rpa",2019,2019
"ao_rpa",2020,2020
"ao_rpa",2021,2021
"cs_kelp_forest",2017,2017
