rgn_id,2014,2015,2016,2017,2018,2019,2020,2021
1,8.1557E-07,0.029197562,0.005520274,0.072595014,0.002245326,0.006321957,0.023306272,0.001581708
2,0.02391115,0.027723536,0.036262897,0.034190161,0.031771415,0.009305478,0.033308381,0.010722482
3,0.000547792,0.000561986,0.000325156,0.003597474,0,0.000386799,0.000602737,0.000153852
4,0.143321036,0.136349113,0.130775883,0.225212545,0.196508693,0.040242513,0.203369422,0.043191251
5,0.159007887,0.204692383,0.401334713,0.228651804,0.424022671,0.051864095,0.222884298,0.074987776
6,0.00960237,0.050720672,0.016751809,0.065243602,0.01504191,0.013570555,0.005320825,0.011682268
7,0.035484192,0.033977899,0.029525902,0.075566673,0.000549984,0.012844797,0.026543323,0.019896169
8,0.033713356,0.042937142,0.038002164,0.052908594,0.034091149,0.012424652,0.041825818,0.015091096
9,0.909090909,0.138942668,0.909090909,0.715203331,0.909090909,0.056673966,0.909090909,0.099788361
10,0.290367931,0.909090909,0.724576405,0.513457391,0.653642416,0.113188509,0.843159196,0.258190081
11,0.066177776,0.04269891,0.093106936,0.053176563,0.105977256,0.015713168,0.119804815,0.015158881
12,0,0,0,0,0,0,0,0
13,0,0.012654818,0.005765834,0.011228754,0.008458905,0.001733473,0.014995008,0.002230912
14,0.160897177,0.047242895,0.111878121,0.066593567,0.178577872,0.021926211,0.168101395,0.024154095
15,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0
17,0.000119477,0,0,0.021068326,0,0,0,0
18,0.000863409,0.000909786,0.002388808,0.004958365,0.000994067,0.000291722,0.003443566,0.001234146
19,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0
21,0.239410823,0.060425112,0.149895461,0.11994671,0.222552756,0.034935434,0.259505262,0.030746465
22,0,0,0,0.909090909,0,0.909090909,0,0.909090909
23,0.000275672,0.001222103,0.002919998,0.001402782,0.005400546,0.000223674,0.001435857,0.000961933
24,0.341297338,0.394819206,0.155553494,0.676788321,0.162888746,0.147538105,0.608665006,0.134660287
25,0,0,0,0,0,0,0,0
26,0.064178852,0.091895845,0.014758858,0.160928552,0.030003168,0.029063492,0.04430969,0.032207204
27,0.007095879,0.022124819,0.010608158,0.013535219,0.012558352,0.003049229,0.013707606,0.003323259
28,0.044304514,0.075841997,0.050367818,0.068828642,0.095290874,0.013679955,0.092408155,0.008374346
29,0.133685464,0.138488702,0.186422998,0.113826094,0.168855528,0.027605318,0.202070359,0.049251697
30,0,0,0,0,0,0,0,0
31,0.003140704,0.007819666,0.012250195,0.018736221,0.01231854,0.009233278,0.034610168,0.011020066
32,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0
