rgn_id;;2017;;2018;;
1;Ancud;19176;;19176;19176;19176
2;Aysen;0;;0;;
3;Cabo de Hornos;0;;0;;
4;Calbuco;20913;;20913;;
5;Castro;29398;;29398;;
6;Chaiten;3567;;3567;;
7;Chonchi;16718;;16718;;
8;Cisnes;0;;0;;
9;Cochamo;2826;;2826;;
10;Curaco de Velez;0;;0;;
11;Dalcahue;16162;;16162;;
12;Fresia;160;;160;;
13;Guaitecas;0;;0;;
14;Hualaihue;1498;;1498;;
15;Laguna Blanca;0;;0;;
16;Los Muermos;25925;;25925;;
17;Maullin;31252;;31252;;
18;Natales;0;;0;;
19;Porvenir;0;;0;;
20;Primavera;0;;0;;
21;Puerto Montt;10058;;10058;;
22;Puerto Varas;579;;579;;
23;Punta Arenas;0;;0;;
24;Puqueldon;15235;;15235;;
25;Purranque;169;;169;;
26;Queilen ;10093;;10093;;
27;Quellon;11226;;11226;;
28;Quemchi;16884;;16884;;
29;Quinchao;33098;;33098;;
30;Rio Negro;198;;198;;
31;Rio Verde;;;;;
32;San Gregorio;0;;0;;
33;San Juan de la Costa;647;;647;;
34;Timaukel;0;;0;;
35;Torres del Paine;0;;0;;
36;Tortel;0;;0;;
