rgn_id;2017;2018;2019;2020;2021
1;0,15;0,15;0,15;0,15;0,15
2;0,01;0,01;0,01;0,01;0,01
3;0;0;0;0;0
4;0,14;0,14;0,14;0,14;0,14
5;0,04;0,04;0,04;0,04;0,04
6;0,01;0,01;0,01;0,01;0,01
7;0,03;0,03;0,03;0,03;0,03
8;0,03;0,03;0,03;0,03;0,03
9;0,01;0,01;0,01;0,01;0,01
10;0,01;0,01;0,01;0,01;0,01
11;0,02;0,02;0,02;0,02;0,02
12;0;0;0;0;0
13;0;0;0;0;0
14;0,02;0,02;0,02;0,02;0,02
15;0;0;0;0;0
16;0,01;0,01;0,01;0,01;0,01
17;0,03;0,03;0,03;0,03;0,03
18;0,09;0,09;0,09;0,09;0,09
19;0,03;0,03;0,03;0,03;0,03
20;0;0;0;0;0
21;1;1;1;1;1
22;0;0;0;0;0
23;0,55;0,55;0,55;0,55;0,55
24;0,02;0,02;0,02;0,02;0,02
25;0;0;0;0;0
26;0,01;0,01;0,01;0,01;0,01
27;0,04;0,04;0,04;0,04;0,04
28;0,02;0,02;0,02;0,02;0,02
29;0,03;0,03;0,03;0,03;0,03
30;0;0;0;0;0
31;0;0;0;0;0
32;0;0;0;0;0
33;0;0;0;0;0
34;0;0;0;0;0
35;0;0;0;0;0
36;0;0;0;0;0
