"rgn_id","level","label"
2,"r2","South America"
11,"r2","South America"
4,"r2","South America"
9,"r2","South America"
5,"r2","South America"
8,"r2","South America"
7,"r2","South America"
3,"r2","South America"
1,"r2","South America"
6,"r2","South America"
12,"r2","South America"
10,"r2","South America"
2,"r1","Latin America and the Caribbean"
11,"r1","Latin America and the Caribbean"
4,"r1","Latin America and the Caribbean"
9,"r1","Latin America and the Caribbean"
5,"r1","Latin America and the Caribbean"
8,"r1","Latin America and the Caribbean"
7,"r1","Latin America and the Caribbean"
3,"r1","Latin America and the Caribbean"
1,"r1","Latin America and the Caribbean"
6,"r1","Latin America and the Caribbean"
12,"r1","Latin America and the Caribbean"
10,"r1","Latin America and the Caribbean"
2,"r0","World"
11,"r0","World"
4,"r0","World"
9,"r0","World"
5,"r0","World"
8,"r0","World"
7,"r0","World"
3,"r0","World"
1,"r0","World"
6,"r0","World"
12,"r0","World"
10,"r0","World"
