"","region_id","score","dimension","goal"
"1",1,44.211455827986,"status","MAR"
"2",2,38.4857143,"status","MAR"
"3",3,21.9002980297941,"status","MAR"
"4",4,50.2619510230434,"status","MAR"
"5",5,57.0696574336595,"status","MAR"
"6",6,34.9285642659058,"status","MAR"
"7",7,57.1077814681983,"status","MAR"
"8",8,38.1741451245581,"status","MAR"
"9",9,27.9286961137308,"status","MAR"
"10",10,58.5825623416999,"status","MAR"
"11",11,53.5065584104924,"status","MAR"
"12",13,38.2126852379644,"status","MAR"
"13",14,26.0999667866085,"status","MAR"
"14",17,0,"status","MAR"
"15",18,38.4857143,"status","MAR"
"16",21,30.0215894652517,"status","MAR"
"17",22,37.8698403706493,"status","MAR"
"18",23,38.4857143,"status","MAR"
"19",24,50.5389763535445,"status","MAR"
"20",26,45.9754058103136,"status","MAR"
"21",27,39.823832141846,"status","MAR"
"22",28,42.0006770698899,"status","MAR"
"23",29,48.3373383421774,"status","MAR"
"24",31,38.4857143,"status","MAR"
"25",1,0.0826,"trend","MAR"
"26",2,0.3023,"trend","MAR"
"27",3,-0.1861,"trend","MAR"
"28",4,0.3638,"trend","MAR"
"29",5,0.2271,"trend","MAR"
"30",6,-0.0425,"trend","MAR"
"31",7,0.2814,"trend","MAR"
"32",8,0.2019,"trend","MAR"
"33",9,0.3089,"trend","MAR"
"34",10,0.4243,"trend","MAR"
"35",11,0.393,"trend","MAR"
"36",13,0.5955,"trend","MAR"
"37",14,0.63,"trend","MAR"
"38",17,-1,"trend","MAR"
"39",18,0.4507,"trend","MAR"
"40",21,0.3515,"trend","MAR"
"41",22,1,"trend","MAR"
"42",23,1,"trend","MAR"
"43",24,0.747,"trend","MAR"
"44",26,0.2883,"trend","MAR"
"45",27,-0.0681,"trend","MAR"
"46",28,0.2195,"trend","MAR"
"47",29,0.2526,"trend","MAR"
"48",31,1,"trend","MAR"
