"x";"region_id";"score";"dimension"
"1";1;73.5794082476267;"status"
"2";2;77.7602494284234;"status"
"3";3;81.1030883441435;"status"
"4";4;76.4997042252422;"status"
"5";5;84.1008959653027;"status"
"6";6;77.5197661317208;"status"
"7";7;81.764968389736;"status"
"8";8;84.9400640368448;"status"
"9";9;84.6290393979637;"status"
"10";10;82.5558312655087;"status"
"11";11;83.849472674976;"status"
"12";13;80.2561237225993;"status"
"13";14;79.9289798481865;"status"
"14";15;100;"status"
"15";16;78.7990024937656;"status"
"16";17;79.1581473406291;"status"
"17";18;84.9822972750911;"status"
"18";19;84.5827098919368;"status"
"19";20;78.0050801094177;"status"
"20";21;81.0066391410869;"status"
"21";23;79.8096031450982;"status"
"22";24;83.8337801608579;"status"
"23";25;79.3926261990386;"status"
"24";27;77.1960172744722;"status"
"25";28;72.748897010644;"status"
"26";29;85.4785478547855;"status"
"27";30;77.1428571428571;"status"
"28";31;75.3275720164609;"status"
"29";32;82.8853589946392;"status"
"30";33;74.9181790218394;"status"
"31";34;82.4602740281325;"status"
"32";35;86.9172932330827;"status"
"33";36;84.7792135741981;"status"
