"scientific","rgn_id","id","year","area_km2","category","trend"
"""Arctocephalus australis (Zimmermann, 1783)""",3,4171,2020,39.5,0.2,0.5
"""Arctocephalus australis (Zimmermann, 1783)""",17,1479,2020,52.5,0.2,0.5
"""Arctocephalus australis (Zimmermann, 1783)""",36,282,2007,163,0.2,0.5
"""Arctocephalus australis (Zimmermann, 1783)""",6,1938,2022,199.2,0.2,0.5
"""Arctocephalus australis (Zimmermann, 1783)""",36,391,2007,178.6,0.2,0.5
"""Arctocephalus australis (Zimmermann, 1783)""",36,842,2007,113.2,0.2,0.5
"""Arctocephalus australis (Zimmermann, 1783)""",13,1609,2007,135.8,0.2,0.5
"""Arctocephalus australis (Zimmermann, 1783)""",23,2128,2022,149.6,0.2,0.5
"""Arctocephalus australis (Zimmermann, 1783)""",3,4510,2008,58.4,0.2,0.5
"""Arctocephalus australis (Zimmermann, 1783)""",3,3379,2007,109.6,0.2,0.5
"""Arctocephalus australis (Zimmermann, 1783)""",36,281,2007,129.3,0.2,0.5
"""Arctocephalus australis (Zimmermann, 1783)""",8,1502,2002,143.1,0.2,0.5
"""Arctocephalus australis (Zimmermann, 1783)""",27,1604,2014,200.9,0.2,0.5
"""Arctocephalus australis (Zimmermann, 1783)""",2,46,2018,203.9,0.2,0.5
"""Arctocephalus australis (Zimmermann, 1783)""",23,2129,2016,90.1,0.2,0.5
"""Arctocephalus australis (Zimmermann, 1783)""",23,2698,2016,9.3,0.2,0.5
"""Arctocephalus australis (Zimmermann, 1783)""",27,1489,2011,64.5,0.2,0.5
"""Arctocephalus australis (Zimmermann, 1783)""",23,2471,2016,87.1,0.2,0.5
"""Arctocephalus australis (Zimmermann, 1783)""",3,4631,2013,205,0.2,0.5
"""Arctocephalus australis (Zimmermann, 1783)""",18,1775,2013,105.9,0.2,0.5
"""Arctocephalus gazella (Peters, 1875)""",18,525,2008,186.7,0,-0.5
"""Arctocephalus gazella (Peters, 1875)""",18,184,2008,178.5,0,-0.5
"""Arctocephalus gazella (Peters, 1875)""",18,639,2008,134.1,0,-0.5
"""Arctocephalus gazella (Peters, 1875)""",36,169,2008,224.3,0,-0.5
