"region_id","dimension","score","goal"
1,"status",52.7042541238133,"BD"
2,"status",52.6749247142117,"BD"
3,"status",56.3137941720718,"BD"
4,"status",53.9678521126211,"BD"
5,"status",60.0915979826514,"BD"
6,"status",48.2227830658604,"BD"
7,"status",56.488134194868,"BD"
8,"status",55.7747320184224,"BD"
9,"status",58.3553196989818,"BD"
10,"status",68.8523656327544,"BD"
11,"status",57.772336337488,"BD"
12,"status",35.4483,"BD"
13,"status",57.3305118612996,"BD"
14,"status",55.6878399240933,"BD"
15,"status",77.27815,"BD"
16,"status",57.0159012468828,"BD"
17,"status",63.9513236703146,"BD"
18,"status",54.6877986375455,"BD"
19,"status",66.2414049459684,"BD"
20,"status",62.0870400547089,"BD"
21,"status",64.3149195705435,"BD"
22,"status",46.0022,"BD"
23,"status",49.1532015725491,"BD"
24,"status",66.2616400804289,"BD"
25,"status",61.8101630995193,"BD"
26,"status",48.2337,"BD"
27,"status",54.7979586372361,"BD"
28,"status",59.756648505322,"BD"
29,"status",66.4964239273928,"BD"
30,"status",60.2050285714285,"BD"
31,"status",51.3543860082304,"BD"
32,"status",64.8911294973196,"BD"
33,"status",52.3798895109197,"BD"
34,"status",86.6846870140662,"BD"
35,"status",67.5868966165414,"BD"
36,"status",58.301456787099,"BD"
