"rgn_id","rgn_name","area_km2"
33,"San Juan de la Costa",1125.18704962
35,"Torres del Paine",146.38437918
10,"Curaco de Velez",80.5804675026
1,"Ancud",1546.44831309
2,"Aysen",16051.0366673
3,"Cabo de Hornos",25608.8067401
4,"Calbuco",1068.10641968
5,"Castro",350.386254707
6,"Chaiten",4735.61300833
7,"Chonchi",949.060093653
8,"Cisnes",13571.1856648
9,"Cochamo",151.287088973
11,"Dalcahue",812.626899925
18,"Natales",32015.4221578
12,"Fresia",615.316078489
13,"Guaitecas",3545.93099563
14,"Hualaihue",1186.81934938
15,"Laguna Blanca",161.796774626
16,"Los Muermos",627.857236809
17,"Maullin",887.795027678
19,"Porvenir",2614.04012376
20,"Primavera",2677.45171909
21,"Puerto Montt",562.296980965
22,"Puerto Varas",8.37021439689
23,"Punta Arenas",21020.6989126
24,"Puqueldon",150.702331696
25,"Purranque",683.725763317
26,"Queilen",1104.13991695
27,"Quellon",7739.7344593
28,"Quemchi",1484.50906872
29,"Quinchao",811.341545826
30,"Rio Negro",486.143333921
31,"Rio Verde",4317.6894591
32,"San Gregorio",1728.39776125
34,"Timaukel",2750.66522745
36,"Tortel",14744.7438196
