,rgn_id,MeanProp,ValorStd
1,1,60.55075456,0.071452726
2,2,633.4158129,0.747460324
3,3,36.68194444,0.043286412
4,4,412.3670482,0.486612429
5,5,198.264631,0.23396155
6,6,74.84651316,0.088322391
7,7,184.0208748,0.217153251
8,8,847.4239936,1
9,9,85.42414674,0.100804494
10,10,231.2342085,0.272867195
11,11,275.8755409,0.325546058
12,13,43.32686024,0.051127724
13,14,125.9233742,0.148595479
14,17,7.251602564,0.008557231
15,18,151.4159966,0.178677967
16,21,134.4732534,0.158684737
17,22,8.352773055,0.009856663
18,23,117.5977705,0.138770877
19,24,141.4673341,0.16693808
20,26,167.7921171,0.198002556
21,27,337.255179,0.397976906
22,28,117.1731233,0.138269773
23,29,145.1626564,0.171298733
24,31,175.2512792,0.206804717
