,rgn_id,perc_manejo,valor escalado
1,1,68.57397436,0.685739744
2,2,20.88788876,0.208878888
3,3,0.646179358,0.006461794
4,4,41.67956935,0.416795694
5,5,5.729511199,0.057295112
6,6,98.87097121,0.988709712
7,7,66.35206647,0.663520665
8,8,91.13314325,0.911331433
9,9,40.49547937,0.404954794
10,10,0.518630366,0.005186304
11,11,55.09443508,0.550944351
12,12,6.310344828,0.063103448
13,13,98.92267525,0.989226753
14,14,93.14296121,0.931429612
15,16,93.75627767,0.937562777
16,17,41.2655373,0.412655373
17,18,6.707730848,0.067077308
18,19,1.662903514,0.016629035
19,21,57.63052092,0.576305209
20,23,4.674390379,0.046743904
21,24,87.73603221,0.877360322
22,25,21.68215418,0.216821542
23,26,47.9134536,0.479134536
24,27,88.49510596,0.88495106
25,28,87.96284009,0.879628401
26,29,63.59834782,0.635983478
27,30,100,1
28,31,5.782854937,0.057828549
29,33,21.85892926,0.218589293
30,36,99.12187514,0.991218751
