"targets","layer","filename","fld_value","units","name","description","layer_gl","path_in","fld_id_num","fld_id_chr","fld_category","fld_year","fld_val_num","fld_val_chr","file_exists","year_min","year_max","val_min","val_max","val_0to1","flds_unused","flds_missing","rows_duplicated","num_ids_unique","data_na"
"spatial","rgn_area","rgn_area_pat2021.csv","area_km2","km^2",NA,NA,"rgn_id","~/github/pat/comunas/layers/rgn_id_pat2021.csv","rgn_id",NA,"rgn_name",NA,"area_km2",NA,"TRUE",NA,NA,8.370214,32015.422158,"FALSE",NA,NA,NA,36,"FALSE"
"ICO","ico_spp_extinction_status","ico_spp_extinction_status_pat2021.csv","category","category",NA,NA,"ico_spp_extinction_status","~/github/pat/comunas/layers/ico_spp_extinction_status_pat2021.csv","rgn_id",NA,"sciname",NA,NA,"category","TRUE",NA,NA,NA,NA,"FALSE",NA,NA,1,36,"FALSE"
"ICO","ico_spp_popn_trend","ico_spp_popn_trend_pat2021.csv","popn_trend","trend score",NA,NA,"ico_spp_popn_trend","~/github/pat/comunas/layers/ico_spp_popn_trend_pat2021.csv","rgn_id",NA,"sciname",NA,NA,"popn_trend","TRUE",NA,NA,NA,NA,"FALSE",NA,NA,1,36,"FALSE"
"LSP","lsp_prot_area_inland1mn","lsp_prot_area_inland1mn_pat2021.csv","area_km2","km^2",NA,NA,"lsp_prot_area_inland1nm","~/github/pat/comunas/layers/lsp_prot_area_inland1mn_pat2021.csv","rgn_id",NA,NA,"year","area_km2",NA,"TRUE",2017,2021,0,21095.7,"FALSE",NA,NA,NA,36,"FALSE"
"LSP","lsp_prot_area_offshore3mn","lsp_prot_area_offshore3mn_pat2021.csv","area_km2","km^2",NA,NA,"lsp_prot_area_offshore3nm","~/github/pat/comunas/layers/lsp_prot_area_offshore3mn_pat2021.csv","rgn_id",NA,NA,"year","area_km2",NA,"TRUE",2017,2021,0,1699.4,"FALSE",NA,NA,NA,36,"FALSE"
"spatial","rgn_area_inland1km","rgn_area_inland1km_pat2021.csv","area_km2","km^2",NA,NA,"rgn_area_inland1km","~/github/pat/comunas/layers/rgn_area_inland1km_pat2021.csv","rgn_id",NA,NA,NA,"area_km2",NA,"TRUE",NA,NA,34.8,44510.1,"FALSE",NA,NA,NA,36,"FALSE"
"spatial","rgn_area_offshore3nm","rgn_area_offshore3nm_pat2021.csv","area_km2","km^2",NA,NA,"rgn_area_offshore3nm","~/github/pat/comunas/layers/rgn_area_offshore3nm_pat2021.csv","rgn_id",NA,NA,NA,"area_km2",NA,"TRUE",NA,NA,8.4,20946.4,"FALSE",NA,NA,NA,36,"FALSE"
"TR","tr_jobs_pct_tourism","tr_jobs_pct_tourism_pat2021.csv","Ep","proportion",NA,NA,"tr_jobs_pct_tourism","~/github/pat/comunas/layers/tr_jobs_pct_tourism_pat2021.csv","rgn_id",NA,NA,"year","ep",NA,"TRUE",2017,2021,0,0.35900989,"FALSE",NA,NA,NA,36,"FALSE"
"TR","tr_sustainability","tr_sustainability_pat2021.csv","S_score","score",NA,NA,"tr_sustainability","~/github/pat/comunas/layers/tr_sustainability_pat2021.csv","rgn_id",NA,NA,"year","s_score",NA,"TRUE",2021,2021,1,1.097,"FALSE",NA,NA,NA,36,"FALSE"
"TR","tr_factor","tr_factor_pat2021.csv","factor","scaled 0-1",NA,NA,NA,"~/github/pat/comunas/layers/tr_factor_pat2021.csv","rgn_id",NA,NA,"year","factor",NA,"TRUE",2021,2021,NA,NA,"FALSE",NA,NA,NA,NA,NA
"NP","np_harvest_tonnes","np_harvest_tonnes_pat2021.csv","tonnes","tonnes","Toneladas de cosecha de los productos naturales","Extracción y producción en toneladas de aceite y harina de pescado y algas marinas","np_harvest_tonnes","~/github/pat/comunas/layers/np_harvest_tonnes_pat2021.csv","rgn_id",NA,"Producto","year","tonnes",NA,"TRUE",2017,2021,0,36384,"FALSE",NA,NA,NA,36,"FALSE"
"NP","np_harvest_tonnes_relative","np_harvest_tonnes_relative_pat2021.csv","proportion","proportion","Proporción relativa de las toneladas de cosecha de los productos naturales","Toneladas de cosecha de los productos naturales en relación con su cosecha máxima  dentro de la región observada a lo largo de los años","np_harvest_tonnes_relative","~/github/pat/comunas/layers/np_harvest_tonnes_relative_pat2021.csv","rgn_id",NA,"Producto","year","proportion",NA,"TRUE",2017,2021,0,74.0740741,"FALSE",NA,NA,NA,36,"FALSE"
"NP","np_harvest_product_weight","np_harvest_product_weight_pat2021.csv","Weigth","proportion","Valor relativo de la cosecha de productos naturales","Importancia relativa de tres productos marinos  dentro de cada región se determina hallando la contribución relativa por una media de 5 años de cosecha del producto (en USD) dividida por el valor total medio de 5 años de cosecha (en USD) de todos los productos naturales en la comuna.","np_harvest_product_weight","~/github/pat/comunas/layers/np_harvest_product_weight_pat2021.csv","rgn_id",NA,"Producto","year","Weigth",NA,"TRUE",2017,2021,0,1,"FALSE",NA,NA,NA,36,"FALSE"
"NP","np_sust","np_sust_pat2021.csv","Sostenibilidad","score","Indice de sustentabilidad de los productos naturales","Indice de sustentabilidad de los peces fueron extraidos a partir de los resultados de la meta FIS, mientras que para las algas fue creado un indice a partir de la información del Estado de las pesquerias chilenas",NA,"~/github/pat/comunas/layers/np_sust_pat2021.csv","rgn_id",NA,"Producto",NA,"Sostenibilidad",NA,"TRUE",NA,NA,0.4406782,0.9473169,"FALSE",NA,NA,NA,36,"FALSE"
"LIV","le_jobs_sector_year","le_jobs_sector_year_pat2021.csv","jobs","number of jobs","Numero de trabajadores","Número de trabajadores por cada uno de los 5 sectores de empleos relacionado al oceano de cada comuna, datos recopilados según el SII","le_jobs_sector_year","~/github/pat/comunas/layers/le_jobs_sector_year_pat2021.csv","rgn_id",NA,"sector","year","jobs",NA,"TRUE",2017,2021,0,39207,"FALSE",NA,NA,144,36,"FALSE"
"LIV","le_wage_sector_year","le_wage_sector_year_pat2021.csv","wage_usd","2021 USD","Salario en USD","Salario en USD que aporta cada uno de los sectores  de empleos relacionado al oceano d por cada comuna","le_wage_sector_year","~/github/pat/comunas/layers/le_wage_sector_year_pat2021.csv","rgn_id",NA,"sector","year","wage_usd",NA,"TRUE",2017,2021,0,63160042.2,"FALSE",NA,NA,120,36,"FALSE"
"LIV","le_unemployment","le_unemployment_pat2021.csv","percent","proportion","Proporción de desempleo","Proporción relativa de trabajadores desempleados en relación a la fuerza laboral general a nivel comunal","le_unemployment","~/github/pat/comunas/layers/le_unemployment.csv","rgn_id",NA,NA,"year","percent",NA,"TRUE",2017,2021,3.409091,7.966667,"FALSE",NA,NA,NA,36,"FALSE"
"LIV","le_workforcesize_adj","le_workforcesize_adj_pat2021.csv","jobs","number of jobs","Fuerza laboral","Fuerza laboral comunal","le_workforcesize_adj","~/github/pat/comunas/layers/le_workforcesize_adj_pat2021.csv","rgn_id",NA,NA,"year","jobs",NA,"TRUE",2017,2021,107.7733,141984,"FALSE",NA,NA,NA,36,"FALSE"
