rgn_id;rgn_name;año;area_km2;%
1;Ancud;2017;41,9;8,4
2;Aysen;2017;9936,5;68,6
3;Cabo de Hornos;2017;13869,1;75,3
4;Calbuco;2017;0,3;0,1
5;Castro;2017;7,8;2,8
6;Chaiten;2017;273,5;23,1
7;Chonchi;2017;5,3;2,3
8;Cisnes;2017;4949,2;54,3
9;Cochamo;2017;12,0;4,4
10;Curaco de Velez;2017;0,1;0,1
11;Dalcahue;2017;46,0;24,7
12;Fresia;2017;0,1;0,1
13;Guaitecas;2017;1,3;0,1
14;Hualaihue;2017;194,0;30,4
15;Laguna Blanca;2017;0,0;0,0
16;Los Muermos;2017;0,0;0,0
17;Maullin;2017;0,8;0,2
18;Natales;2017;18786,3;42,2
19;Porvenir;2017;4,6;0,7
20;Primavera;2017;0,0;0,0
21;Puerto Montt;2017;1,5;0,6
22;Puerto Varas;2017;3,2;4,7
23;Punta Arenas;2017;3077,4;16,0
24;Puqueldon;2017;3,7;3,9
25;Purranque;2017;0,5;0,5
26;Queilen;2017;0,3;0,1
27;Quellon;2017;46,5;3,7
28;Quemchi;2017;0,4;0,1
29;Quinchao;2017;0,7;0,3
30;Rio Negro;2017;12,2;19,4
31;Rio Verde;2017;50,2;0,8
32;San Gregorio;2017;0,0;0,0001
33;San Juan de la Costa;2017;4,4;0,4
34;Timaukel;2017;299,4;9,1
35;Torres del Paine;2017;6,9;4,6
36;Tortel;2017;13845,4;89,2
1;Ancud;2018;41,9;8,4
2;Aysen;2018;9938,4;68,6
3;Cabo de Hornos;2018;13869,1;75,3
4;Calbuco;2018;0,9;0,2
5;Castro;2018;7,8;2,8
6;Chaiten;2018;371,7;31,4
7;Chonchi;2018;5,3;2,3
8;Cisnes;2018;5222,1;57,3
9;Cochamo;2018;12,0;4,4
10;Curaco de Velez;2018;0,1;0,1
11;Dalcahue;2018;46,0;24,7
12;Fresia;2018;0,1;0,1
13;Guaitecas;2018;1,3;0,1
14;Hualaihue;2018;378,5;59,4
15;Laguna Blanca;2018;0,0;0,0
16;Los Muermos;2018;0,0;0,0
17;Maullin;2018;0,8;0,2
18;Natales;2018;18786,3;42,2
19;Porvenir;2018;4,6;0,7
20;Primavera;2018;0,0;0,0
21;Puerto Montt;2018;1,6;0,6
22;Puerto Varas;2018;3,2;4,7
23;Punta Arenas;2018;3077,4;16,0
24;Puqueldon;2018;3,7;3,9
25;Purranque;2018;0,5;0,5
26;Queilen;2018;0,3;0,1
27;Quellon;2018;46,5;3,7
28;Quemchi;2018;0,4;0,1
29;Quinchao;2018;0,7;0,3
30;Rio Negro;2018;12,2;19,4
31;Rio Verde;2018;50,2;0,8
32;San Gregorio;2018;0,0;0,0
33;San Juan de la Costa;2018;4,4;0,4
34;Timaukel;2018;321,4;9,7
35;Torres del Paine;2018;6,9;4,6
36;Tortel;2018;14251,6;91,9
1;Ancud;2019;407,1;81,3
2;Aysen;2019;10303,6;71,2
3;Cabo de Hornos;2019;13869,1;75,3
4;Calbuco;2019;0,9;0,2
5;Castro;2019;261,1;93,4
6;Chaiten;2019;371,7;31,4
7;Chonchi;2019;92,2;39,8
8;Cisnes;2019;5223,9;57,3
9;Cochamo;2019;12,0;4,4
10;Curaco de Velez;2019;22,4;24,8
11;Dalcahue;2019;112,5;60,3
12;Fresia;2019;0,1;0,1
13;Guaitecas;2019;1,6;0,2
14;Hualaihue;2019;378,5;59,4
15;Laguna Blanca;2019;0,0;0,0
16;Los Muermos;2019;0,0;0,0
17;Maullin;2019;0,8;0,2
18;Natales;2019;20903,4;47,0
19;Porvenir;2019;4,6;0,7
20;Primavera;2019;97,4;12,7
21;Puerto Montt;2019;1,9;0,7
22;Puerto Varas;2019;3,2;4,7
23;Punta Arenas;2019;16044,2;83,4
24;Puqueldon;2019;34,5;37,1
25;Purranque;2019;0,5;0,5
26;Queilen;2019;234,4;73,4
27;Quellon;2019;379,5;30,0
28;Quemchi;2019;316,2;86,2
29;Quinchao;2019;226,9;85,7
30;Rio Negro;2019;12,2;19,4
