"region_id","goal","dimension","score"
1,"HAB","status",31.8291
2,"HAB","status",27.5896
3,"HAB","status",31.5245
4,"HAB","status",31.436
5,"HAB","status",36.0823
6,"HAB","status",18.9258
7,"HAB","status",31.2113
8,"HAB","status",26.6094
9,"HAB","status",32.0816
10,"HAB","status",55.1489
11,"HAB","status",31.6952
12,"HAB","status",35.4483
13,"HAB","status",34.4049
14,"HAB","status",31.4467
15,"HAB","status",54.5563
16,"HAB","status",35.2328
17,"HAB","status",48.7445
18,"HAB","status",24.3933
19,"HAB","status",47.9001
20,"HAB","status",46.169
21,"HAB","status",47.6232
22,"HAB","status",46.0022
23,"HAB","status",18.4968
24,"HAB","status",48.6895
25,"HAB","status",44.2277
26,"HAB","status",48.2337
27,"HAB","status",32.3999
28,"HAB","status",46.7644
29,"HAB","status",47.5143
30,"HAB","status",43.2672
31,"HAB","status",27.3812
32,"HAB","status",46.8969
33,"HAB","status",29.8416
34,"HAB","status",90.9091
35,"HAB","status",48.2565
36,"HAB","status",31.8237
1,"HAB","trend",0
2,"HAB","trend",0
3,"HAB","trend",0
4,"HAB","trend",0
5,"HAB","trend",0
6,"HAB","trend",0
7,"HAB","trend",0
8,"HAB","trend",0
9,"HAB","trend",0
10,"HAB","trend",0
11,"HAB","trend",0
12,"HAB","trend",0
13,"HAB","trend",0
14,"HAB","trend",0
15,"HAB","trend",0
16,"HAB","trend",0
17,"HAB","trend",0
18,"HAB","trend",0
19,"HAB","trend",0
20,"HAB","trend",0
21,"HAB","trend",0
22,"HAB","trend",0
23,"HAB","trend",0
24,"HAB","trend",0
25,"HAB","trend",0
26,"HAB","trend",0
27,"HAB","trend",0
28,"HAB","trend",0
29,"HAB","trend",0
30,"HAB","trend",0
31,"HAB","trend",0
32,"HAB","trend",0
33,"HAB","trend",0
34,"HAB","trend",0
35,"HAB","trend",0
36,"HAB","trend",0
