"rgn_id","sector","year","wage_usd"
1,"Acuicultura",2017,55376766.7635
1,"Acuicultura",2018,62297176.123
1,"Acuicultura",2019,25504962.5285
1,"Acuicultura",2020,28005880.812
1,"Acuicultura",2021,7814818.18389975
1,"Pesca",2017,12055851.899
1,"Pesca",2018,12452473.8065
1,"Pesca",2019,8692195.694
1,"Pesca",2020,8284538.808
1,"Pesca",2021,6480622.91239968
1,"Transporte",2017,820710
1,"Transporte",2018,984852
1,"Transporte",2019,1034592
1,"Transporte",2020,999774
1,"Transporte",2021,1106715
1,"Turismo",2017,53157
1,"Turismo",2018,49068
1,"Turismo",2019,20445
1,"Turismo",2020,36801
1,"Turismo",2021,365301.46379997
1,"Alojamiento",2017,507532.3292
1,"Alojamiento",2018,294182.6004
1,"Alojamiento",2019,341245.9232
1,"Alojamiento",2020,174720.6877
1,"Alojamiento",2021,91577.4847
2,"Pesca",2017,50825568.4755
2,"Pesca",2018,1240695.5015
2,"Pesca",2019,3363361.9565
2,"Pesca",2020,2031797.768
2,"Pesca",2021,8662
2,"Acuicultura",2017,33942393.121
2,"Acuicultura",2018,19490221.023
2,"Acuicultura",2019,24228430.7265
2,"Acuicultura",2020,26264618.471
2,"Acuicultura",2021,26624347.4224001
2,"Transporte",2017,2324497.175
2,"Transporte",2018,12773456.696
2,"Transporte",2019,8180092.466
2,"Transporte",2020,26576228.952
2,"Transporte",2021,29589229.6153997
2,"Turismo",2017,695467.5455
2,"Turismo",2018,1180196.4265
2,"Turismo",2019,512124.34
2,"Turismo",2020,503475.0175
2,"Turismo",2021,197847.677300001
2,"Alojamiento",2017,83841.6332
2,"Alojamiento",2018,220172.2224
2,"Alojamiento",2019,312937.0309
2,"Alojamiento",2020,136344.7644
2,"Alojamiento",2021,250892.46325
3,"Pesca",2017,667905.8295
3,"Pesca",2018,865754.2985
3,"Pesca",2019,992021.212
3,"Pesca",2020,979047.888
3,"Pesca",2021,1091783.06509998
3,"Acuicultura",2017,80700
3,"Acuicultura",2018,0
3,"Acuicultura",2019,0
3,"Acuicultura",2020,88770
3,"Acuicultura",2021,48420
3,"Transporte",2017,0
3,"Transporte",2018,19896
3,"Transporte",2019,39792
3,"Transporte",2020,4974
3,"Transporte",2021,24870
3,"Turismo",2017,200361
3,"Turismo",2018,NA
3,"Turismo",2019,NA
3,"Turismo",2020,NA
3,"Turismo",2021,NA
3,"Alojamiento",2017,124614
3,"Alojamiento",2018,146349
3,"Alojamiento",2019,139104
3,"Alojamiento",2020,121716
3,"Alojamiento",2021,136206
4,"Pesca",2017,2257329.347
4,"Pesca",2018,1489414.654
4,"Pesca",2019,1500503.732
4,"Pesca",2020,1520796.3225
4,"Pesca",2021,1377925.34879996
4,"Acuicultura",2017,59862788.349
4,"Acuicultura",2018,56511423.2865
4,"Acuicultura",2019,64145629.366
4,"Acuicultura",2020,64699472.3375
4,"Acuicultura",2021,68720491.5670003
4,"Transporte",2017,1385015.814
4,"Transporte",2018,1092282.1
4,"Transporte",2019,2916453.904
4,"Transporte",2020,3518326.6755
4,"Transporte",2021,4674657.56940011
4,"Turismo",2017,0
4,"Turismo",2018,0
4,"Turismo",2019,8178
4,"Turismo",2020,0
4,"Turismo",2021,0
4,"Alojamiento",2017,40208.4826
4,"Alojamiento",2018,39565.9238
4,"Alojamiento",2019,40055.7599
4,"Alojamiento",2020,30998.4857
4,"Alojamiento",2021,30922.12435
5,"Acuicultura",2017,72800099.2355
5,"Acuicultura",2018,55112926.141
5,"Acuicultura",2019,71516198.026
5,"Acuicultura",2020,77767759.433
5,"Acuicultura",2021,85322600.2265009
5,"Pesca",2017,4932149.8135
5,"Pesca",2018,1459324.776
5,"Pesca",2019,2575838.174
5,"Pesca",2020,1912888.3865
5,"Pesca",2021,1949445.92570013
5,"Transporte",2017,5831737.4115
5,"Transporte",2018,6723880.3905
5,"Transporte",2019,10290388.6085
5,"Transporte",2020,11250590.078
5,"Transporte",2021,13760963.8985003
5,"Turismo",2017,4089
5,"Turismo",2018,261696
5,"Turismo",2019,57246
5,"Turismo",2020,224895
5,"Turismo",2021,253518
5,"Alojamiento",2017,1158851.3274
5,"Alojamiento",2018,1193283.5668
5,"Alojamiento",2019,1284654.2293
5,"Alojamiento",2020,822322.579
5,"Alojamiento",2021,885224.02995
6,"Acuicultura",2017,24210
6,"Acuicultura",2018,28245
6,"Acuicultura",2019,40350
