rgn_id,pressure_score
1,0.02982092053375
2,0.461350061567513
3,0.241400475091462
4,0.005890344902628
5,0.001623024733767
6,0.023527334372991
7,0.03266437093332
8,0.16063785419862
9,0.001911317455897
10,8.83454178706882E-05
11,0.001265502623791
12,0.001726849059912
13,0.018287521141581
14,0.007222410758869
15,0.001272542299013
16,0.006732752863928
17,0.057075620273927
18,1
19,0.047805881614998
20,0.037013280670078
21,0.003612054188075
22,0.001495342548251
23,0.258082479194538
24,0.000507181103194
25,0.000405780567223
26,0.004021204325041
27,0.029985285245508
28,0.006011543419776
29,0.002881364390168
30,0.001227033764453
31,0.051798155139933
32,0.032967370657262
33,0.003340349201366
34,0.022415466529941
35,0.002756904724632
36,0.367647175722045
