"rgn_id","habitat","year","km2"
5,"Marismas",2018,286.350551270208
5,"Tepu",2018,58.5973538686132
5,"Macrocystis",2018,6139696.64788732
6,"Playas",2018,2016.02257442082
6,"Marismas",2018,2901.87778775364
6,"Tepu",2018,7710.31866213627
6,"Macrocystis",2018,13320929.3394366
7,"Playas",2018,930.898851753127
7,"Marismas",2018,234.671856729699
7,"Tepu",2018,507.671614978664
7,"Macrocystis",2018,1527243.69624413
8,"Playas",2018,562.8
8,"Marismas",2018,1809.11423762376
8,"Tepu",2018,20047.3133939394
8,"Macrocystis",2018,99377665.8
9,"Playas",2018,273.6
9,"Marismas",2018,2.7
9,"Tepu",2018,0.05
9,"Macrocystis",2018,684474
10,"Playas",2018,68.5
10,"Marismas",2018,NA
10,"Tepu",2018,NA
10,"Macrocystis",2018,1236470.3314554
11,"Playas",2018,21.7068181818182
11,"Marismas",2018,66.3908111762055
11,"Tepu",2018,596.790326123128
11,"Macrocystis",2018,2128877.75629108
12,"Playas",2018,110
12,"Marismas",2018,3.2
12,"Tepu",2018,396.974291476297
12,"Macrocystis",2018,331094.4
13,"Playas",2018,NA
13,"Marismas",2018,22382.4922772277
13,"Tepu",2018,3520.39692121212
13,"Macrocystis",2018,18630427.2
14,"Playas",2018,605.60464
14,"Marismas",2018,574.541370227878
14,"Tepu",2018,189.693870332326
14,"Macrocystis",2018,3226729.65868545
15,"Playas",2018,78.08
15,"Marismas",2018,355.87
15,"Tepu",2018,NA
15,"Macrocystis",2018,1252746.6
16,"Playas",2018,169.290467513981
16,"Marismas",2018,671.316331877729
16,"Tepu",2018,481.9
16,"Macrocystis",2018,4380633.6
17,"Playas",2018,685.910562674095
17,"Marismas",2018,1702.35534935468
17,"Tepu",2018,1329.34983473684
17,"Macrocystis",2018,715144802.4
18,"Playas",2018,NA
18,"Marismas",2018,720843.666276634
18,"Tepu",2018,1565343.83642812
18,"Macrocystis",2018,10722364.8
19,"Playas",2018,683.97
19,"Marismas",2018,97.7
19,"Tepu",2018,NA
19,"Macrocystis",2018,2830220.4
20,"Playas",2018,683.97
20,"Marismas",2018,2370.70477081293
20,"Tepu",2018,NA
20,"Macrocystis",2018,2830220.4
21,"Playas",2018,301.671879518072
21,"Marismas",2018,1088.85372807018
21,"Tepu",2018,166.826408163265
21,"Macrocystis",2018,6367.2
22,"Playas",2018,NA
22,"Marismas",2018,NA
22,"Tepu",2018,NA
22,"Macrocystis",2018,559621.167
23,"Playas",2018,194.744815779817
23,"Marismas",2018,2891.6323020958
23,"Tepu",2018,2658
23,"Macrocystis",2018,807042.6
24,"Playas",2018,271.84
24,"Marismas",2018,64.04
24,"Tepu",2018,64.08
24,"Macrocystis",2018,1930853.4
25,"Playas",2018,9.04
25,"Marismas",2018,169.134810126582
25,"Tepu",2018,213
25,"Macrocystis",2018,5033875.83474178
26,"Playas",2018,136.396700722892
26,"Marismas",2018,113.577383392857
26,"Tepu",2018,296.309623497758
26,"Macrocystis",2018,29832898.2032864
27,"Playas",2018,911.574052173913
27,"Marismas",2018,878.375128468653
27,"Tepu",2018,11426.3662315789
27,"Macrocystis",2018,2291237.16384977
28,"Playas",2018,NA
28,"Marismas",2018,239.116866730769
28,"Tepu",2018,369.830989465649
28,"Macrocystis",2018,2650996.01830986
29,"Playas",2018,68.47
29,"Marismas",2018,68.46
29,"Tepu",2018,202
29,"Macrocystis",2018,1042629
30,"Playas",2018,NA
30,"Marismas",2018,NA
30,"Tepu",2018,3866.70837142857
30,"Macrocystis",2018,66804662.4
31,"Playas",2018,NA
31,"Marismas",2018,57658.2799056555
31,"Tepu",2018,NA
31,"Macrocystis",2018,4030437.6
32,"Playas",2018,NA
32,"Marismas",2018,16.2
32,"Tepu",2018,NA
32,"Macrocystis",2018,2213125.02159624
33,"Playas",2018,147.767607763401
33,"Marismas",2018,56.0439261154646
33,"Tepu",2018,NA
33,"Macrocystis",2018,43107535.8
34,"Playas",2018,NA
34,"Marismas",2018,8128.29657046299
34,"Tepu",2018,NA
34,"Macrocystis",2018,682882.2
35,"Playas",2018,NA
35,"Marismas",2018,172.95788
35,"Tepu",2018,NA
35,"Macrocystis",2018,119265615
36,"Playas",2018,598.6
36,"Marismas",2018,8774.77636633663
36,"Tepu",2018,64486.7565454546
36,"Macrocystis",2018,NA
1,"Playas",2019,391.596518354692
1,"Marismas",2019,339.064986329386
1,"Tepu",2019,703.053587986293
1,"Macrocystis",2019,9318000
2,"Playas",2019,1150.7
2,"Marismas",2019,6417.43681188119
2,"Tepu",2019,152811.455393939
2,"Macrocystis",2019,271308000
3,"Playas",2019,100
3,"Marismas",2019,312762.816436838
3,"Tepu",2019,NA
3,"Macrocystis",2019,1385559000
4,"Playas",2019,449.35001980198
4,"Marismas",2019,522.978312796209
4,"Tepu",2019,246.363921568628
4,"Macrocystis",2019,5310000
5,"Playas",2019,54.3293150684931
5,"Marismas",2019,319.642309815242
5,"Tepu",2019,56.9469128467154
5,"Macrocystis",2019,7593000
6,"Playas",2019,2089.44300349096
6,"Marismas",2019,3199.89075237924
6,"Tepu",2019,7513.03843915899
6,"Macrocystis",2019,25104000
7,"Playas",2019,1004.76532704531
7,"Marismas",2019,228.833832851316
7,"Tepu",2019,496.591884141775
7,"Macrocystis",2019,2769000
8,"Playas",2019,562.8
8,"Marismas",2019,1807.33027722772
8,"Tepu",2019,20067.6432929293
8,"Macrocystis",2019,187293000
9,"Playas",2019,273.6
9,"Marismas",2019,2.7
9,"Tepu",2019,0.05
9,"Macrocystis",2019,1290000
10,"Playas",2019,68.5
10,"Marismas",2019,NA
10,"Tepu",2019,NA
10,"Macrocystis",2019,2259000
11,"Playas",2019,21.6579545454545
11,"Marismas",2019,66.3609463722397
11,"Tepu",2019,596.088713810316
11,"Macrocystis",2019,3888000
12,"Playas",2019,110
12,"Marismas",2019,3.2
12,"Tepu",2019,405.865006722347
12,"Macrocystis",2019,624000
13,"Playas",2019,NA
13,"Marismas",2019,22360.420990099
13,"Tepu",2019,3523.96694141414
13,"Macrocystis",2019,35112000
14,"Playas",2019,606.538746666667
14,"Marismas",2019,557.664931932525
14,"Tepu",2019,193.726182054381
14,"Macrocystis",2019,6078000
15,"Playas",2019,78.08
15,"Marismas",2019,355.87
15,"Tepu",2019,NA
15,"Macrocystis",2019,2361000
16,"Playas",2019,164.722212099644
16,"Marismas",2019,767.935720524018
16,"Tepu",2019,481.9
16,"Macrocystis",2019,8256000
17,"Playas",2019,680.562323119777
17,"Marismas",2019,1652.91457424712
17,"Tepu",2019,1294.40814052632
17,"Macrocystis",2019,1347804000
18,"Playas",2019,NA
18,"Marismas",2019,718515.610656073
18,"Tepu",2019,1822362.2758328
18,"Macrocystis",2019,20208000
19,"Playas",2019,683.97
19,"Marismas",2019,97.7
19,"Tepu",2019,NA
19,"Macrocystis",2019,5334000
20,"Playas",2019,683.97
20,"Marismas",2019,2510.57223261508
20,"Tepu",2019,NA
20,"Macrocystis",2019,5334000
21,"Playas",2019,296.617192771084
21,"Marismas",2019,1247.5293494152
21,"Tepu",2019,161.964142857143
21,"Macrocystis",2019,12000
22,"Playas",2019,NA
22,"Marismas",2019,NA
22,"Tepu",2019,NA
22,"Macrocystis",2019,1054695
23,"Playas",2019,190.868951743119
23,"Marismas",2019,2866.8443524451
23,"Tepu",2019,2658
23,"Macrocystis",2019,1521000
24,"Playas",2019,271.84
24,"Marismas",2019,64.04
24,"Tepu",2019,64.08
24,"Macrocystis",2019,3639000
25,"Playas",2019,9.04
25,"Marismas",2019,165.723945147679
25,"Tepu",2019,213
25,"Macrocystis",2019,9474000
26,"Playas",2019,145.296150843374
26,"Marismas",2019,113.840280625
26,"Tepu",2019,289.944560747384
26,"Macrocystis",2019,54384000
27,"Playas",2019,891.003060869566
27,"Marismas",2019,862.604316546762
27,"Tepu",2019,11620.7606035088
27,"Macrocystis",2019,3978000
28,"Playas",2019,NA
28,"Marismas",2019,261.636344519231
28,"Tepu",2019,365.969487709923
28,"Macrocystis",2019,4992000
29,"Playas",2019,68.47
29,"Marismas",2019,68.46
29,"Tepu",2019,202
29,"Macrocystis",2019,1965000
30,"Playas",2019,NA
30,"Marismas",2019,NA
30,"Tepu",2019,4511.0431
30,"Macrocystis",2019,125904000
31,"Playas",2019,NA
31,"Marismas",2019,57516.4932232648
31,"Tepu",2019,NA
31,"Macrocystis",2019,7596000
32,"Playas",2019,NA
32,"Marismas",2019,16.2
32,"Tepu",2019,NA
