"rgn_id","Year","Spp","bbmsy"
1,2017,"ALMEJA",0.360872639
1,2017,"BACALAO DE PROFUNDIDAD",NA
1,2017,"CARACOL PALO PALO",NA
1,2017,"CARACOL PICUYO",NA
1,2017,"CARACOL TEGULA",NA
1,2017,"CENTOLLA",1
1,2017,"CHOLGA",NA
1,2017,"CHORITO",NA
1,2017,"CHORO",NA
1,2017,"CONGRIO COLORADO",NA
1,2017,"CONGRIO DORADO",NA
1,2017,"CONGRIO NEGRO",NA
1,2017,"CORVINA",NA
1,2017,"CULENGUE",NA
1,2017,"ERIZO",0.69
1,2017,"HUEPO O NAVAJA DE MAR",NA
1,2017,"HUIRO",NA
1,2017,"HUIRO PALO",NA
1,2017,"JAIBA MARMOLA",NA
1,2017,"JAIBA PANCHOTE O CANGREJO",NA
1,2017,"JAIBA PELUDA O PACHONA",NA
1,2017,"JAIBA REINA",NA
1,2017,"LAPA NEGRA",NA
1,2017,"LUGA-ROJA",NA
1,2017,"LUGA NEGRA O CRESPA",NA
1,2017,"MERLUZA DEL SUR O AUSTRAL",0.85
1,2017,"NAVAJUELA",NA
1,2017,"OSTRA CHILENA",NA
1,2017,"PEJEGALLO",NA
1,2017,"PEJERREY DE MAR",NA
1,2017,"PELILLO",NA
1,2017,"PEPINO DE MAR",NA
1,2017,"PICOROCO",NA
1,2017,"PIURE",NA
1,2017,"PULPO DEL SUR",NA
1,2017,"REINETA",1
1,2017,"ROBALO",NA
1,2017,"ROLLIZO",NA
1,2017,"SIERRA",NA
1,2017,"TAQUILLA",NA
1,2017,"TOLLO",NA
1,2017,"TUMBAO",NA
1,2018,"ALMEJA",0.360872639
1,2018,"BACALAO DE PROFUNDIDAD",NA
1,2018,"CABRILLA ESPAÑOLA",NA
1,2018,"CARACOL PALO PALO",NA
1,2018,"CARACOL PICUYO",NA
1,2018,"CENTOLLA",1
1,2018,"CHANCHARRO",NA
1,2018,"CHICOREA DE MAR",NA
1,2018,"CHOLGA",NA
1,2018,"CHORITO",NA
1,2018,"CHORO",NA
1,2018,"COCHAYUYO",NA
1,2018,"COJINOBA DEL SUR O AZUL",NA
1,2018,"CONGRIO COLORADO",NA
1,2018,"CONGRIO DORADO",NA
1,2018,"CONGRIO NEGRO",NA
1,2018,"CORVINA",NA
1,2018,"CULENGUE",NA
1,2018,"ERIZO",0.69
1,2018,"HUEPO O NAVAJA DE MAR",NA
1,2018,"HUIRO",NA
1,2018,"JAIBA MARMOLA",NA
1,2018,"JAIBA MORA",NA
1,2018,"JAIBA PANCHOTE O CANGREJO",NA
1,2018,"JAIBA PANCORA",NA
1,2018,"JAIBA PELUDA O PACHONA",NA
1,2018,"JAIBA REINA",NA
1,2018,"JAIBA REMADORA",NA
1,2018,"JUREL",NA
1,2018,"LAPA NEGRA",NA
1,2018,"LENGUADO",NA
1,2018,"LUCHE",NA
1,2018,"LUGA-ROJA",NA
1,2018,"LUGA NEGRA O CRESPA",NA
1,2018,"MERLUZA DEL SUR O AUSTRAL",0.85
1,2018,"NAVAJUELA",NA
1,2018,"OSTRA CHILENA",NA
1,2018,"PEJEGALLO",NA
1,2018,"PEJERREY DE MAR",NA
