"rgn_id","score"
1,0.027027027027027
2,0.181274900398406
3,0.313025210084034
4,0.139240506329114
5,0.0666666666666667
6,0.146551724137931
7,0
8,0.205714285714286
9,0.142857142857143
10,0.235294117647059
11,0.0909090909090909
13,0.284615384615385
14,0.148809523809524
15,-0.5
16,0.166666666666667
17,0.157142857142857
18,0.215547703180212
19,0.241935483870968
20,0.22
21,0.0746268656716418
23,0.271978021978022
24,0.166666666666667
25,0.211538461538462
27,0.183333333333333
28,0.14
29,0.214285714285714
30,0.142857142857143
31,0.295454545454545
32,0.214285714285714
33,0.0555555555555556
34,0.17910447761194
35,-0.1
36,0.197368421052632
