"rgn_id","year","ep"
1,"2017",0.04212529
2,"2017",0.0436317
3,"2017",0.13803376
4,"2017",0.00865356
5,"2017",0.06908665
6,"2017",0.08333333
7,"2017",0.01229765
8,"2017",0.0625
9,"2017",0.06953642
10,"2017",0.01293103
11,"2017",0.01542133
12,"2017",0.01102491
13,"2017",0.04122497
14,"2017",0.03589177
15,"2017",0.03829787
16,"2017",0.02169014
17,"2017",0.01301262
18,"2017",0.15394108
19,"2017",0.02451768
20,"2017",0.18769231
21,"2017",0.02291292
22,"2017",0.08855425
23,"2017",0.07387441
24,"2017",0.00806452
25,"2017",0.00875848
26,"2017",0.00537222
27,"2017",0.01990794
28,"2017",0.01035078
29,"2017",0.02199571
30,"2017",0.00340014
31,"2017",0.00641026
32,"2017",0.12663755
33,"2017",0.04098361
34,"2017",0.01152738
35,"2017",0.10185185
36,"2017",0
1,"2018",0.04740289
2,"2018",0.06414702
3,"2018",0.19695613
4,"2018",0.01235596
5,"2018",0.07068146
6,"2018",0.15971606
7,"2018",0.01446908
8,"2018",0.10603205
9,"2018",0.06074766
10,"2018",0.00482315
11,"2018",0.03297115
12,"2018",0.02122449
13,"2018",0.05342466
14,"2018",0.06785137
15,"2018",0.00425532
16,"2018",0.03598581
17,"2018",0.02878788
18,"2018",0.29277978
19,"2018",0.03311639
20,"2018",0.15737705
21,"2018",0.02603894
22,"2018",0.14083003
23,"2018",0.0913341
24,"2018",0.00994036
25,"2018",0.01427787
26,"2018",0.0110935
27,"2018",0.03714349
28,"2018",0.01380775
29,"2018",0.02906977
30,"2018",0.00759494
31,"2018",0.00671141
32,"2018",0.15566038
33,"2018",0.01741294
34,"2018",0.0758427
35,"2018",0.17819149
36,"2018",0.02839117
1,"2019",0.0497426
2,"2019",0.05714939
3,"2019",0.20307443
4,"2019",0.01392721
5,"2019",0.07175407
6,"2019",0.16295637
7,"2019",0.01326872
8,"2019",0.09360519
9,"2019",0.09382151
10,"2019",0.01079734
11,"2019",0.03648233
12,"2019",0.017119
13,"2019",0.05948553
14,"2019",0.06456382
15,"2019",0.00934579
16,"2019",0.05491258
17,"2019",0.02386117
18,"2019",0.32342834
19,"2019",0.04337482
20,"2019",0.15602837
21,"2019",0.02454292
22,"2019",0.1305254
23,"2019",0.09200804
24,"2019",0.00989209
25,"2019",0.02038913
26,"2019",0.08339768
27,"2019",0.0385156
28,"2019",0.01247002
29,"2019",0.02373042
30,"2019",0.00870028
31,"2019",0.00684932
32,"2019",0.14222222
33,"2019",0.02157676
34,"2019",0.13793103
35,"2019",0.28940568
36,"2019",0.04046243
1,"2020",0.04464867
2,"2020",0.0431797
3,"2020",0.17771639
4,"2020",0.01039096
5,"2020",0.05404715
6,"2020",0.11500449
7,"2020",0.00905237
8,"2020",0.09406657
9,"2020",0.11010216
10,"2020",0.01103565
11,"2020",0.03378133
12,"2020",0.0169027
13,"2020",0.03600655
14,"2020",0.05247813
15,"2020",0.02083333
16,"2020",0.05486132
17,"2020",0.02209945
18,"2020",0.23113439
19,"2020",0.03910615
20,"2020",0.11885246
21,"2020",0.01819455
22,"2020",0.08110781
23,"2020",0.06815741
24,"2020",0.01114488
25,"2020",0.00998056
26,"2020",0.05004468
27,"2020",0.02724917
28,"2020",0.01652479
29,"2020",0.02879177
30,"2020",0.00892503
31,"2020",0
32,"2020",0.09326425
33,"2020",0.0136
34,"2020",0.10566038
35,"2020",0.26523297
36,"2020",0.04095563
1,"2021",0.04845733
2,"2021",0.04993855
3,"2021",0.21023673
4,"2021",0.01302778
5,"2021",0.05538086
6,"2021",0.15481601
7,"2021",0.0095379
8,"2021",0.10961917
9,"2021",0.1222447
10,"2021",0.00996881
11,"2021",0.04431183
12,"2021",0.01994974
13,"2021",0.04513683
14,"2021",0.06681416
15,"2021",0.00635729
16,"2021",0.07147254
17,"2021",0.02752372
18,"2021",0.31587802
19,"2021",0.04853471
20,"2021",0.10302049
21,"2021",0.01900955
22,"2021",0.10209339
23,"2021",0.07722423
24,"2021",0.01205867
25,"2021",0.01579588
26,"2021",0.08905742
27,"2021",0.03655301
28,"2021",0.01758441
29,"2021",0.02965913
30,"2021",0.0115751
31,"2021",0.00021953
32,"2021",0.10105658
33,"2021",0.00389658
34,"2021",0.16886221
35,"2021",0.35900989
36,"2021",0.06118685
