"rgn_id","species","sust_coeff","year"
1,"Mytilus chilensis",0.668,2021
4,"Mytilus chilensis",0.668,2021
5,"Mytilus chilensis",0.668,2021
6,"Mytilus chilensis",0.668,2021
7,"Mytilus chilensis",0.668,2021
9,"Mytilus chilensis",0.668,2021
10,"Mytilus chilensis",0.668,2021
11,"Mytilus chilensis",0.668,2021
14,"Mytilus chilensis",0.668,2021
17,"Mytilus chilensis",0.668,2021
21,"Mytilus chilensis",0.668,2021
22,"Mytilus chilensis",0.668,2021
24,"Mytilus chilensis",0.668,2021
26,"Mytilus chilensis",0.668,2021
27,"Mytilus chilensis",0.668,2021
28,"Mytilus chilensis",0.668,2021
29,"Mytilus chilensis",0.668,2021
1,"Salmonids",0.384857143,2021
2,"Salmonids",0.384857143,2021
3,"Salmonids",0.384857143,2021
4,"Salmonids",0.384857143,2021
5,"Salmonids",0.384857143,2021
6,"Salmonids",0.384857143,2021
7,"Salmonids",0.384857143,2021
8,"Salmonids",0.384857143,2021
9,"Salmonids",0.384857143,2021
10,"Salmonids",0.384857143,2021
11,"Salmonids",0.384857143,2021
13,"Salmonids",0.384857143,2021
14,"Salmonids",0.384857143,2021
17,"Salmonids",0.384857143,2021
18,"Salmonids",0.384857143,2021
21,"Salmonids",0.384857143,2021
22,"Salmonids",0.384857143,2021
23,"Salmonids",0.384857143,2021
24,"Salmonids",0.384857143,2021
26,"Salmonids",0.384857143,2021
27,"Salmonids",0.384857143,2021
28,"Salmonids",0.384857143,2021
29,"Salmonids",0.384857143,2021
31,"Salmonids",0.384857143,2021
