"rgn_id","year","Spp","SumLandings"
1,2017,"ALMEJA",862.072
1,2017,"BACALAO DE PROFUNDIDAD",115.021
1,2017,"CARACOL PALO PALO",23.359
1,2017,"CARACOL PICUYO",4.925
1,2017,"CARACOL TEGULA",0.015
1,2017,"CENTOLLA",148.557
1,2017,"CHOLGA",2.218
1,2017,"CHORITO",6.083
1,2017,"CHORO",109.333
1,2017,"CONGRIO COLORADO",20.8
1,2017,"CONGRIO DORADO",22.814
1,2017,"CONGRIO NEGRO",0.556
1,2017,"CORVINA",12.792
1,2017,"CULENGUE",105.634
1,2017,"ERIZO",93.528
1,2017,"HUEPO O NAVAJA DE MAR",14.069
1,2017,"HUIRO",1.07
1,2017,"HUIRO PALO",0.04
1,2017,"JAIBA MARMOLA",418.164
1,2017,"JAIBA PANCHOTE O CANGREJO",17.243
1,2017,"JAIBA PELUDA O PACHONA",9.678
1,2017,"JAIBA REINA",1.161
1,2017,"LAPA NEGRA",0.03
1,2017,"LUGA-ROJA",107.237
1,2017,"LUGA NEGRA O CRESPA",13.957
1,2017,"MERLUZA DEL SUR O AUSTRAL",153.012
1,2017,"NAVAJUELA",0.392
1,2017,"OSTRA CHILENA",153.162
1,2017,"PEJEGALLO",114.896
1,2017,"PEJERREY DE MAR",11.637
1,2017,"PELILLO",23.14
1,2017,"PEPINO DE MAR",48.662
1,2017,"PICOROCO",0.05
1,2017,"PIURE",3.098
1,2017,"PULPO DEL SUR",312.974
1,2017,"REINETA",5.01
1,2017,"ROBALO",5.108
1,2017,"ROLLIZO",8.629
1,2017,"SIERRA",0.347
1,2017,"TAQUILLA",31.7
1,2017,"TOLLO",1.734
1,2017,"TUMBAO",20.743
1,2018,"ALMEJA",1381.545
1,2018,"BACALAO DE PROFUNDIDAD",66.626
1,2018,"CABRILLA ESPAÑOLA",0.005
1,2018,"CARACOL PALO PALO",58.468
1,2018,"CARACOL PICUYO",0.317
1,2018,"CENTOLLA",275.645
1,2018,"CHANCHARRO",0.047
1,2018,"CHICOREA DE MAR",3
1,2018,"CHOLGA",66.152
1,2018,"CHORITO",48.992
1,2018,"CHORO",10.175
1,2018,"COCHAYUYO",0.015
1,2018,"COJINOBA DEL SUR O AZUL",0.09
1,2018,"CONGRIO COLORADO",18.621
1,2018,"CONGRIO DORADO",34.402
1,2018,"CONGRIO NEGRO",0.046
1,2018,"CORVINA",18.292
1,2018,"CULENGUE",121
1,2018,"ERIZO",83.38
1,2018,"HUEPO O NAVAJA DE MAR",23.248
1,2018,"HUIRO",1.725
1,2018,"JAIBA MARMOLA",793.645
1,2018,"JAIBA MORA",0.03
1,2018,"JAIBA PANCHOTE O CANGREJO",12.157
1,2018,"JAIBA PANCORA",0.084
1,2018,"JAIBA PELUDA O PACHONA",11.181
1,2018,"JAIBA REINA",1.095
1,2018,"JAIBA REMADORA",0.018
1,2018,"JUREL",2
1,2018,"LAPA NEGRA",0.247
1,2018,"LENGUADO",0.012
1,2018,"LUCHE",0.058
1,2018,"LUGA-ROJA",29.459
1,2018,"LUGA NEGRA O CRESPA",312.777
1,2018,"MERLUZA DEL SUR O AUSTRAL",201.186
1,2018,"NAVAJUELA",0.33
1,2018,"OSTRA CHILENA",104.088
1,2018,"PEJEGALLO",24.173
1,2018,"PEJERREY DE MAR",14.639
1,2018,"PELILLO",1.97
1,2018,"PEPINO DE MAR",137.054
1,2018,"PIURE",4.913
1,2018,"PULPO DEL SUR",269.393
1,2018,"RAYA ESPINOSA",5.088
1,2018,"RAYA VOLANTIN",9.604
1,2018,"REINETA",4.631
1,2018,"ROBALO",1.644
1,2018,"ROLLIZO",17.403
1,2018,"SIERRA",0.629
1,2018,"TOLLO",0.821
