"rgn_id","year","area_km2"
1,2017,37
2,2017,35.8
3,2017,326.9
4,2017,22.3
5,2017,1.4
6,2017,14.7
7,2017,2.3
8,2017,303.4
9,2017,2.8
10,2017,1.4
11,2017,0.9
12,2017,5.7
13,2017,24
14,2017,38.9
15,2017,10.1
16,2017,32.8
17,2017,124.3
18,2017,3
19,2017,6
20,2017,0.8
21,2017,53
22,2017,3.5
23,2017,4.5
24,2017,12.1
25,2017,47.1
26,2017,18.2
27,2017,5.1
28,2017,44.9
29,2017,96.1
30,2017,10.3
31,2017,19.4
32,2017,28.9
33,2017,0
34,2017,0
35,2017,0
36,2017,0
1,2018,37
2,2018,99.1
3,2018,326.9
4,2018,52
5,2018,4.2
6,2018,26.9
7,2018,2.3
8,2018,367.9
9,2018,2.9
10,2018,1.4
11,2018,0.9
12,2018,5.7
13,2018,23.9
14,2018,38.9
15,2018,10.1
16,2018,33
17,2018,124.3
18,2018,3
19,2018,6
20,2018,0.8
21,2018,59.8
22,2018,3.5
23,2018,4.5
24,2018,12.1
25,2018,47.1
26,2018,18.2
27,2018,5.1
28,2018,44.9
29,2018,97.4
30,2018,10.3
31,2018,19.4
32,2018,28.9
33,2018,0
34,2018,674.9
35,2018,0
36,2018,556
1,2019,46.5
2,2019,123
3,2019,326.9
4,2019,54.4
5,2019,203.2
6,2019,39
7,2019,4.2
8,2019,401.9
9,2019,2.9
10,2019,17.7
11,2019,11.9
12,2019,5.7
13,2019,26
14,2019,38.9
15,2019,10.1
16,2019,33
17,2019,124.3
18,2019,3
19,2019,6.3
20,2019,205.3
21,2019,60.7
22,2019,3.5
23,2019,4.5
24,2019,33.1
25,2019,47.1
26,2019,40
27,2019,63.9
28,2019,75.2
29,2019,145.8
30,2019,10.3
31,2019,20.3
32,2019,28.9
33,2019,0
34,2019,674.9
35,2019,0
36,2019,556
1,2020,55.9
2,2020,123.6
3,2020,1699.4
4,2020,54.4
5,2020,210.8
6,2020,39
7,2020,4.2
8,2020,404.6
9,2020,2.9
10,2020,17.8
11,2020,12
12,2020,5.7
13,2020,54.4
14,2020,38.9
15,2020,10.1
16,2020,33
17,2020,124.3
18,2020,35.1
19,2020,6.3
20,2020,205.5
21,2020,60.7
22,2020,3.5
23,2020,4.5
24,2020,33.1
25,2020,47.1
26,2020,40
27,2020,63.9
28,2020,75.2
29,2020,145.8
30,2020,10.3
31,2020,20.3
32,2020,28.9
33,2020,0
34,2020,674.9
35,2020,36.9
36,2020,556
1,2021,65.4
2,2021,123.6
3,2021,1699.4
4,2021,54.4
5,2021,211.2
6,2021,52.8
7,2021,4.2
8,2021,404.6
9,2021,2.9
10,2021,18.1
11,2021,12.1
12,2021,5.8
13,2021,54.4
14,2021,38.9
15,2021,10.1
16,2021,34.3
17,2021,124.3
18,2021,35.1
19,2021,6.3
20,2021,205.5
21,2021,60.7
22,2021,3.5
23,2021,4.5
24,2021,33.1
25,2021,47.1
26,2021,40
27,2021,64
28,2021,77.4
29,2021,145.8
30,2021,10.3
31,2021,20.3
32,2021,28.9
33,2021,0
34,2021,674.9
35,2021,36.9
36,2021,556
