"rgn_id","habitat","extent_rank"
1,"Macrocystis",10987700.139141
13,"Macrocystis",41354195.91072
20,"Macrocystis",6282276.17304
4,"Macrocystis",6254009.4636
10,"Macrocystis",3075846.76594031
21,"Macrocystis",15007.8429575587
11,"Macrocystis",5144095.6469451
5,"Macrocystis",11751545.7402321
15,"Macrocystis",2780737.54116
22,"Macrocystis",1242198.2130342
12,"Macrocystis",734934.44544
35,"Macrocystis",264735400.599
2,"Macrocystis",319543208.564323
27,"Macrocystis",6432495.68195539
30,"Macrocystis",148287157.72224
17,"Macrocystis",1587416850.27408
31,"Macrocystis",8946413.53776
14,"Macrocystis",7168965.42447339
25,"Macrocystis",11158283.55144
18,"Macrocystis",23800569.34848
29,"Macrocystis",2314336.8354
6,"Macrocystis",29570073.8502689
26,"Macrocystis",82896101.8775606
9,"Macrocystis",1519335.6324
16,"Macrocystis",9723748.04736
7,"Macrocystis",3261271.60164
28,"Macrocystis",5897009.16226804
32,"Macrocystis",6957986.17628346
24,"Macrocystis",4285939.81884
33,"Macrocystis",95686344.79308
8,"Macrocystis",220589867.13108
19,"Macrocystis",6282276.17304
34,"Macrocystis",1515802.29372
3,"Macrocystis",1631883069.37404
23,"Macrocystis",1791402.71076
1,"Marismas",329.769268137783
25,"Marismas",158.902215189873
29,"Marismas",68.46
36,"Marismas",8748.81804950495
2,"Marismas",6404.7679009901
27,"Marismas",831.06269270298
13,"Marismas",22316.2784158416
33,"Marismas",52.8008891731969
31,"Marismas",57232.9198584833
28,"Marismas",306.675300096154
32,"Marismas",16.2
35,"Marismas",159.43682
18,"Marismas",713859.499414951
5,"Marismas",386.225826905312
26,"Marismas",114.366075089286
20,"Marismas",2790.30715621939
16,"Marismas",961.174497816594
6,"Marismas",3795.91668163046
4,"Marismas",491.543545023697
14,"Marismas",523.912055341817
17,"Marismas",1554.03302403202
7,"Marismas",217.157785094549
8,"Marismas",1803.76235643564
15,"Marismas",355.87
11,"Marismas",66.3012167643082
21,"Marismas",1564.88059210526
3,"Marismas",309160.192561649
23,"Marismas",2817.26845314371
19,"Marismas",97.7
12,"Marismas",3.2
9,"Marismas",2.7
34,"Marismas",9233.44485569449
24,"Marismas",64.04
6,"Playas",2236.28386163123
16,"Playas",155.585701270971
2,"Playas",1150.7
20,"Playas",683.97
14,"Playas",608.40696
24,"Playas",271.84
3,"Playas",100
29,"Playas",68.47
15,"Playas",78.08
11,"Playas",21.5602272727273
17,"Playas",669.865844011142
23,"Playas",183.117223669725
7,"Playas",1152.49827762969
36,"Playas",598.6
33,"Playas",140.501411645102
8,"Playas",562.8
9,"Playas",273.6
10,"Playas",68.5
1,"Playas",415.175847346401
12,"Playas",110
21,"Playas",286.507819277108
5,"Playas",51.0805479452054
25,"Playas",9.04
27,"Playas",849.86107826087
26,"Playas",163.095051084337
19,"Playas",683.97
4,"Playas",462.307168316832
1,"Tepu",776.357470268091
2,"Tepu",153121.072363636
16,"Tepu",481.9
30,"Tepu",5799.71255714286
4,"Tepu",243.896470588235
21,"Tepu",152.239612244898
17,"Tepu",1224.52475210526
11,"Tepu",594.685489184692
5,"Tepu",53.6460308029198
13,"Tepu",3531.10698181818
25,"Tepu",213
23,"Tepu",2658
6,"Tepu",7118.47799320441
36,"Tepu",64682.9438181818
12,"Tepu",423.646437214446
24,"Tepu",64.08
7,"Tepu",474.432422467996
28,"Tepu",358.246484198473
27,"Tepu",12009.5493473684
18,"Tepu",2336399.15464218
8,"Tepu",20108.3030909091
29,"Tepu",202
14,"Tepu",201.790805498489
26,"Tepu",277.214435246637
9,"Tepu",0.05
