"rgn_id","variable","year","value"
1,"Gp",2021,NA
2,"Gp",2021,3433.5
3,"Gp",2021,NA
4,"Gp",2021,NA
5,"Gp",2021,NA
6,"Gp",2021,NA
7,"Gp",2021,NA
8,"Gp",2021,NA
9,"Gp",2021,NA
10,"Gp",2021,NA
11,"Gp",2021,NA
12,"Gp",2021,NA
13,"Gp",2021,NA
14,"Gp",2021,NA
15,"Gp",2021,NA
16,"Gp",2021,NA
17,"Gp",2021,NA
18,"Gp",2021,NA
19,"Gp",2021,NA
20,"Gp",2021,NA
21,"Gp",2021,NA
22,"Gp",2021,NA
23,"Gp",2021,NA
24,"Gp",2021,NA
25,"Gp",2021,NA
26,"Gp",2021,NA
27,"Gp",2021,NA
28,"Gp",2021,NA
29,"Gp",2021,NA
30,"Gp",2021,NA
31,"Gp",2021,NA
32,"Gp",2021,NA
33,"Gp",2021,NA
34,"Gp",2021,NA
35,"Gp",2021,NA
36,"Gp",2021,5669.6
1,"CA",2021,NA
2,"CA",2021,3840.5
3,"CA",2021,3983.3
4,"CA",2021,NA
5,"CA",2021,NA
6,"CA",2021,0
7,"CA",2021,NA
8,"CA",2021,5690.8
9,"CA",2021,NA
10,"CA",2021,NA
11,"CA",2021,NA
12,"CA",2021,NA
13,"CA",2021,1262.2
14,"CA",2021,NA
15,"CA",2021,NA
16,"CA",2021,NA
17,"CA",2021,NA
18,"CA",2021,11185.6
19,"CA",2021,NA
20,"CA",2021,NA
21,"CA",2021,NA
22,"CA",2021,NA
23,"CA",2021,1200.9
24,"CA",2021,NA
25,"CA",2021,NA
26,"CA",2021,NA
27,"CA",2021,NA
28,"CA",2021,NA
29,"CA",2021,NA
30,"CA",2021,NA
31,"CA",2021,214.6
32,"CA",2021,NA
33,"CA",2021,NA
34,"CA",2021,543
35,"CA",2021,NA
36,"CA",2021,1867.6
1,"EM",2021,NA
2,"EM",2021,NA
3,"EM",2021,NA
4,"EM",2021,NA
5,"EM",2021,NA
6,"EM",2021,NA
7,"EM",2021,NA
8,"EM",2021,NA
9,"EM",2021,NA
10,"EM",2021,NA
11,"EM",2021,NA
12,"EM",2021,NA
13,"EM",2021,NA
14,"EM",2021,NA
15,"EM",2021,161.1
16,"EM",2021,NA
17,"EM",2021,NA
18,"EM",2021,1106
19,"EM",2021,2600.7
20,"EM",2021,2661.5
21,"EM",2021,NA
22,"EM",2021,NA
23,"EM",2021,7633.1
24,"EM",2021,NA
25,"EM",2021,NA
26,"EM",2021,NA
27,"EM",2021,NA
28,"EM",2021,NA
29,"EM",2021,NA
30,"EM",2021,NA
31,"EM",2021,3921.3
32,"EM",2021,1718.9
33,"EM",2021,2135
34,"EM",2021,NA
35,"EM",2021,NA
36,"EM",2021,NA
1,"CI",2021,130.6
2,"CI",2021,NA
3,"CI",2021,NA
4,"CI",2021,1062.7
5,"CI",2021,236.8
6,"CI",2021,3462.9
7,"CI",2021,55.9
8,"CI",2021,NA
9,"CI",2021,0
10,"CI",2021,80.4
11,"CI",2021,83.9
12,"CI",2021,NA
13,"CI",2021,NA
14,"CI",2021,852.7
15,"CI",2021,NA
16,"CI",2021,NA
17,"CI",2021,NA
18,"CI",2021,NA
19,"CI",2021,NA
20,"CI",2021,NA
21,"CI",2021,562
22,"CI",2021,NA
23,"CI",2021,NA
24,"CI",2021,150.2
25,"CI",2021,NA
26,"CI",2021,1102.7
27,"CI",2021,2123.8
28,"CI",2021,1483.5
29,"CI",2021,810.1
30,"CI",2021,NA
31,"CI",2021,NA
32,"CI",2021,NA
33,"CI",2021,NA
34,"CI",2021,NA
35,"CI",2021,NA
36,"CI",2021,NA
1,"FB",2021,NA
2,"FB",2021,NA
3,"FB",2021,NA
4,"FB",2021,NA
5,"FB",2021,NA
