"rgn_id","Producto","year","proportion"
1,"Aceite",2017,NA
1,"Aceite",2018,NA
1,"Aceite",2019,NA
1,"Aceite",2020,NA
1,"Aceite",2021,NA
1,"Algas",2017,8.98856640281442
1,"Algas",2018,56.7447229551451
1,"Algas",2019,93.4751539138083
1,"Algas",2020,100
1,"Algas",2021,89.6850263852243
1,"Harina",2017,NA
1,"Harina",2018,NA
1,"Harina",2019,NA
1,"Harina",2020,NA
1,"Harina",2021,NA
10,"Aceite",2017,NA
10,"Aceite",2018,NA
10,"Aceite",2019,NA
10,"Aceite",2020,NA
10,"Aceite",2021,NA
10,"Algas",2017,99.8735777496839
10,"Algas",2018,100
10,"Algas",2019,63.9696586599241
10,"Algas",2020,50.9481668773704
10,"Algas",2021,9.48836915297092
10,"Harina",2017,NA
10,"Harina",2018,NA
10,"Harina",2019,NA
10,"Harina",2020,NA
10,"Harina",2021,NA
11,"Aceite",2017,NA
11,"Aceite",2018,NA
11,"Aceite",2019,NA
11,"Aceite",2020,NA
11,"Aceite",2021,NA
11,"Algas",2017,65.3448275862069
11,"Algas",2018,81.6995073891626
11,"Algas",2019,100
11,"Algas",2020,60.1724137931034
11,"Algas",2021,57.3810344827586
11,"Harina",2017,NA
11,"Harina",2018,NA
11,"Harina",2019,NA
11,"Harina",2020,NA
11,"Harina",2021,NA
12,"Aceite",2017,NA
12,"Aceite",2018,NA
12,"Aceite",2019,NA
12,"Aceite",2020,NA
12,"Aceite",2021,NA
12,"Algas",2017,NA
12,"Algas",2018,NA
12,"Algas",2019,NA
12,"Algas",2020,NA
12,"Algas",2021,NA
12,"Harina",2017,NA
12,"Harina",2018,NA
12,"Harina",2019,NA
12,"Harina",2020,NA
12,"Harina",2021,NA
13,"Aceite",2017,NA
13,"Aceite",2018,NA
13,"Aceite",2019,NA
13,"Aceite",2020,NA
13,"Aceite",2021,NA
13,"Algas",2017,24.4367417677643
13,"Algas",2018,65.1646447140381
13,"Algas",2019,100
13,"Algas",2020,68.630849220104
13,"Algas",2021,84.5667244367418
13,"Harina",2017,NA
13,"Harina",2018,NA
13,"Harina",2019,NA
13,"Harina",2020,NA
13,"Harina",2021,NA
14,"Aceite",2017,NA
14,"Aceite",2018,NA
14,"Aceite",2019,NA
14,"Aceite",2020,NA
14,"Aceite",2021,NA
14,"Algas",2017,54.0195341848234
14,"Algas",2018,100
14,"Algas",2019,87.9038317054846
14,"Algas",2020,69.2712246431255
14,"Algas",2021,48.7595792637115
14,"Harina",2017,NA
14,"Harina",2018,NA
14,"Harina",2019,NA
14,"Harina",2020,NA
14,"Harina",2021,NA
15,"Aceite",2017,NA
15,"Aceite",2018,NA
15,"Aceite",2019,NA
15,"Aceite",2020,NA
15,"Aceite",2021,NA
15,"Algas",2017,NA
15,"Algas",2018,NA
15,"Algas",2019,NA
15,"Algas",2020,NA
15,"Algas",2021,NA
15,"Harina",2017,NA
15,"Harina",2018,NA
15,"Harina",2019,NA
15,"Harina",2020,NA
15,"Harina",2021,NA
16,"Aceite",2017,NA
16,"Aceite",2018,NA
16,"Aceite",2019,NA
16,"Aceite",2020,NA
16,"Aceite",2021,NA
16,"Algas",2017,93.4892541087231
16,"Algas",2018,100
16,"Algas",2019,92.2882427307206
16,"Algas",2020,73.8305941845765
16,"Algas",2021,64.319216182048
16,"Harina",2017,NA
16,"Harina",2018,NA
16,"Harina",2019,NA
16,"Harina",2020,NA
16,"Harina",2021,NA
17,"Aceite",2017,NA
17,"Aceite",2018,NA
17,"Aceite",2019,NA
17,"Aceite",2020,NA
17,"Aceite",2021,NA
17,"Algas",2017,37.9806579982416
17,"Algas",2018,72.7777520707047
17,"Algas",2019,100
17,"Algas",2020,66.6234787839526
17,"Algas",2021,33.0276710934246
17,"Harina",2017,NA
17,"Harina",2018,NA
17,"Harina",2019,NA
17,"Harina",2020,NA
17,"Harina",2021,NA
18,"Aceite",2017,NA
18,"Aceite",2018,NA
18,"Aceite",2019,NA
18,"Aceite",2020,NA
18,"Aceite",2021,NA
18,"Algas",2017,88.5473340587595
18,"Algas",2018,80.7399347116431
18,"Algas",2019,84.9836779107726
18,"Algas",2020,100
