"rgn_id","habitat","area_km2","layer"
1,"inland",500.7,"element_wts_lsp_km2_x_protection"
2,"inland",14479.2,"element_wts_lsp_km2_x_protection"
3,"inland",18422.1,"element_wts_lsp_km2_x_protection"
4,"inland",456.5,"element_wts_lsp_km2_x_protection"
5,"inland",279.5,"element_wts_lsp_km2_x_protection"
6,"inland",1183.3,"element_wts_lsp_km2_x_protection"
7,"inland",231.5,"element_wts_lsp_km2_x_protection"
8,"inland",9121.5,"element_wts_lsp_km2_x_protection"
9,"inland",275,"element_wts_lsp_km2_x_protection"
10,"inland",90.3,"element_wts_lsp_km2_x_protection"
11,"inland",186.5,"element_wts_lsp_km2_x_protection"
12,"inland",74.5,"element_wts_lsp_km2_x_protection"
13,"inland",901.1,"element_wts_lsp_km2_x_protection"
14,"inland",637.7,"element_wts_lsp_km2_x_protection"
15,"inland",34.8,"element_wts_lsp_km2_x_protection"
16,"inland",170.4,"element_wts_lsp_km2_x_protection"
17,"inland",316.4,"element_wts_lsp_km2_x_protection"
18,"inland",44510.1,"element_wts_lsp_km2_x_protection"
19,"inland",693.6,"element_wts_lsp_km2_x_protection"
20,"inland",769.8,"element_wts_lsp_km2_x_protection"
21,"inland",261.3,"element_wts_lsp_km2_x_protection"
22,"inland",67.9,"element_wts_lsp_km2_x_protection"
23,"inland",19244.9,"element_wts_lsp_km2_x_protection"
24,"inland",123.1,"element_wts_lsp_km2_x_protection"
25,"inland",93.1,"element_wts_lsp_km2_x_protection"
26,"inland",319.4,"element_wts_lsp_km2_x_protection"
27,"inland",1266.9,"element_wts_lsp_km2_x_protection"
28,"inland",366.7,"element_wts_lsp_km2_x_protection"
29,"inland",264.9,"element_wts_lsp_km2_x_protection"
30,"inland",63.2,"element_wts_lsp_km2_x_protection"
31,"inland",6204.9,"element_wts_lsp_km2_x_protection"
32,"inland",785.2,"element_wts_lsp_km2_x_protection"
33,"inland",142.6,"element_wts_lsp_km2_x_protection"
34,"inland",3300.5,"element_wts_lsp_km2_x_protection"
35,"inland",149,"element_wts_lsp_km2_x_protection"
36,"inland",15513.8,"element_wts_lsp_km2_x_protection"
1,"offshore",631.5,"element_wts_lsp_km2_x_protection"
2,"offshore",8717.2,"element_wts_lsp_km2_x_protection"
3,"offshore",10641.7,"element_wts_lsp_km2_x_protection"
4,"offshore",703.6,"element_wts_lsp_km2_x_protection"
5,"offshore",243.5,"element_wts_lsp_km2_x_protection"
6,"offshore",1681,"element_wts_lsp_km2_x_protection"
7,"offshore",240.1,"element_wts_lsp_km2_x_protection"
8,"offshore",7148.4,"element_wts_lsp_km2_x_protection"
9,"offshore",150.5,"element_wts_lsp_km2_x_protection"
10,"offshore",80.6,"element_wts_lsp_km2_x_protection"
11,"offshore",216.9,"element_wts_lsp_km2_x_protection"
12,"offshore",115,"element_wts_lsp_km2_x_protection"
13,"offshore",1463.2,"element_wts_lsp_km2_x_protection"
14,"offshore",580.1,"element_wts_lsp_km2_x_protection"
15,"offshore",84.7,"element_wts_lsp_km2_x_protection"
16,"offshore",137.1,"element_wts_lsp_km2_x_protection"
17,"offshore",359.3,"element_wts_lsp_km2_x_protection"
18,"offshore",20946.4,"element_wts_lsp_km2_x_protection"
19,"offshore",675.8,"element_wts_lsp_km2_x_protection"
20,"offshore",802.3,"element_wts_lsp_km2_x_protection"
21,"offshore",349.5,"element_wts_lsp_km2_x_protection"
22,"offshore",8.4,"element_wts_lsp_km2_x_protection"
23,"offshore",10639.7,"element_wts_lsp_km2_x_protection"
24,"offshore",144,"element_wts_lsp_km2_x_protection"
25,"offshore",147,"element_wts_lsp_km2_x_protection"
26,"offshore",355.6,"element_wts_lsp_km2_x_protection"
27,"offshore",1673.3,"element_wts_lsp_km2_x_protection"
28,"offshore",597.8,"element_wts_lsp_km2_x_protection"
29,"offshore",660.9,"element_wts_lsp_km2_x_protection"
30,"offshore",99.3,"element_wts_lsp_km2_x_protection"
31,"offshore",3248.8,"element_wts_lsp_km2_x_protection"
32,"offshore",747.3,"element_wts_lsp_km2_x_protection"
33,"offshore",234.6,"element_wts_lsp_km2_x_protection"
34,"offshore",1871.2,"element_wts_lsp_km2_x_protection"
35,"offshore",146.4,"element_wts_lsp_km2_x_protection"
36,"offshore",6496.6,"element_wts_lsp_km2_x_protection"
