,Provincia,rgn_id,Comuna,ind_escape,SumTotCentros,SumCentrosProv,PropEscComuna
1,Aysen,8,Cisnes,0.60665416,824,1525,0.327792149
2,Aysen,13,Guaitecas,0.60665416,45,1525,0.01790127
3,Aysen,2,Aysen,0.60665416,656,1525,0.26096074
4,Chiloé,1,Ancud,0.05583221,15,764,0.001096182
5,Chiloé,7,Chonchi,0.05583221,25,764,0.00182697
6,Chiloé,26,Queilen ,0.05583221,110,764,0.008038669
7,Chiloé,5,Castro,0.05583221,72,764,0.005261674
8,Chiloé,10,Curaco de Velez,0.05583221,28,764,0.002046207
9,Chiloé,11,Dalcahue,0.05583221,48,764,0.003507783
10,Chiloé,27,Quellon,0.05583221,164,764,0.011984925
11,Chiloé,28,Quemchi,0.05583221,129,764,0.009427166
12,Chiloé,24,Puqueldon,0.05583221,56,764,0.004092413
13,Chiloé,29,Quinchao,0.05583221,117,764,0.008550221
14,Llanquihue,9,Cochamo,0.245210708,188,504,0.091467486
15,Llanquihue,17,Maullin,0.245210708,2,504,0.000973058
16,Llanquihue,4,Calbuco,0.245210708,202,504,0.098278895
17,Llanquihue,22,Puerto Varas,0.245210708,9,504,0.004378763
18,Llanquihue,21,Puerto Montt,0.245210708,103,504,0.050112506
19,Magallanes,23,Punta Arenas,0.01381313,40,98,0.005638012
20,Magallanes,31,Río Verde,0.01381313,58,98,0.008175118
21,Palena,6,Chaiten,0.078445397,178,377,0.03703788
22,Palena,14,Hualaihue,0.078445397,199,377,0.041407517
23,Ultima Esperanza,18,Natales,1.11E-05,57,57,1.11E-05
