,RGN_ID_1,mean,median,std_value_mean
1,1,0.005724528,0.0005314,0.013274694
2,2,0.042427416,0.0028989,0.098385576
3,3,0.00140228,4.88E-05,0.003251767
4,4,0.431236145,0.375612,1
5,5,0.16943148,0.209882,0.392897215
6,6,0.084134705,0.0573011,0.195101237
7,7,0.013048952,0.0003279,0.030259412
8,8,0.076785131,0.0044533,0.178058199
9,9,0.103767229,0.103084,0.240627393
10,10,0.219256059,0.217925,0.508436183
11,11,0.040972068,0.000267,0.095010746
12,12,0.001436143,0.0015736,0.003330293
13,13,0.166170237,0.150527,0.385334669
14,14,0.212878776,0.190939,0.493647804
15,15,0.0022306,0.0003192,0.005172571
16,16,0.001700268,0.0015896,0.003942778
17,17,0.001829005,0.001902,0.004241308
18,18,0.008768342,1.91E-05,0.020333041
19,19,0.002027136,2.32E-05,0.004700757
20,20,6.34E-05,0,0.000146927
21,21,0.378034318,0.230175,0.876629482
22,22,0.011957415,0.010783,0.027728229
23,23,0.006702035,5.00E-07,0.015541451
24,24,0.228561493,0.218452,0.530014694
25,25,0.001428185,0.0015617,0.003311839
26,26,0.32179861,0.320745,0.746223649
27,27,0.081590178,0.0001938,0.189200694
28,28,0.25386359,0.224982,0.588688109
29,29,0.345338135,0.343711,0.80080981
30,30,0.001440461,0.00160515,0.003340307
31,31,0.031783639,0.0249381,0.07370356
32,32,0.000178983,6.90E-06,0.000415046
33,33,0.001313492,0.001272,0.003045876
34,34,0.000375826,9.61E-05,0.000871508
35,35,0.000329612,0.0003847,0.000764343
36,36,0.003165069,8.75E-05,0.007339527
