"","RGN_ID_1","media","median","StdValueMean"
"1",1,0.270341826086957,0.165776,0.228812395639446
"2",2,0.100577534804589,0.0834298,0.0851269928122235
"3",3,0.124932109090909,0.130892,0.105740260717869
"4",4,0.380870870234114,0.1949755,0.32236216463048
"5",5,0.41247781037037,0.2304645,0.349113702844486
"6",6,0.113251046627374,0.0864047,0.0958536222920568
"7",7,0.906219809047619,0.571933,0.76700793393846
"8",8,0.101993825937031,0.08513325,0.0863257158201567
"9",9,0.259118125,0.228627,0.219312859549083
"10",10,0.89303248649635,0.666991,0.755846424420302
"11",11,1.18149991538462,0.892258,1
"12",13,0.0987234720250522,0.0774719,0.0835577478589278
"13",14,0.180004074096849,0.139613,0.152352168419963
"14",17,0.131456202597403,0.118792,0.111262134584757
"15",18,0.0962213691075515,0.07950545,0.0814400135409476
"16",21,0.234552085489314,0.137876,0.198520611330691
"17",22,0.274776529411765,0.2647745,0.232565847727815
"18",23,0.103919627944573,0.0859215,0.0879556795488586
"19",24,0.446178411405836,0.30728,0.377637277494506
"20",26,0.377184753438114,0.147565,0.319242302539927
"21",27,0.411628393207223,0.166827,0.348394771635024
"22",28,0.164259995853423,0.10553,0.139026667471196
"23",29,0.201967681463803,0.110342,0.170941765491414
"24",31,0.0995545975521306,0.0838674,0.0842611973609176
"25",35,0.0822053148148148,0.0544237,0.0695770805773223
