"","region_id","goal","dimension","score"
"1",1,"CW","status",42.8904388294911
"2",2,"CW","status",86.845610120518
"3",3,"CW","status",99.9957688014615
"4",4,"CW","status",73.2387939391649
"5",5,"CW","status",46.9482042399585
"6",6,"CW","status",92.7017767832204
"7",7,"CW","status",76.7394102136222
"8",8,"CW","status",83.1032412828451
"9",9,"CW","status",94.4450948622611
"10",10,"CW","status",87.8278889709549
"11",11,"CW","status",80.5655616407258
"12",12,"CW","status",99.1515017634578
"13",13,"CW","status",92.2810505655576
"14",14,"CW","status",95.409020400401
"15",15,"CW","status",99.9574920518978
"16",16,"CW","status",66.9514411904597
"17",17,"CW","status",44.5039893632975
"18",18,"CW","status",96.7372244081287
"19",19,"CW","status",96.2975101926704
"20",20,"CW","status",100
"21",21,"CW","status",68.5042195226066
"22",22,"CW","status",31.2986563247043
"23",23,"CW","status",74.3190841805451
"24",24,"CW","status",82.0602162489146
"25",25,"CW","status",98.9335977851706
"26",26,"CW","status",88.7534393134032
"27",27,"CW","status",84.8278460892979
"28",28,"CW","status",78.8357811388555
"29",29,"CW","status",30.0651571857355
"30",30,"CW","status",99.1270981194809
"31",31,"CW","status",99.1260761965693
"32",32,"CW","status",100
"33",33,"CW","status",97.4244135067858
"34",34,"CW","status",100
"35",35,"CW","status",99.9790348735859
"36",36,"CW","status",96.0029396798033
"37",1,"CW","trend",0.0222951276887642
"38",2,"CW","trend",0.0357266883189726
"39",3,"CW","trend",0.00147354074450357
"40",4,"CW","trend",0.141742253547345
"41",5,"CW","trend",0.304053728147038
"42",6,"CW","trend",0.0682240596426339
"43",7,"CW","trend",0.0613998474806989
"44",8,"CW","trend",0.0561530001401305
"45",9,"CW","trend",0.334320193821976
"46",10,"CW","trend",0.304613347623641
"47",11,"CW","trend",0.0233813226057877
"48",12,"CW","trend",7.2512899433633e-06
"49",13,"CW","trend",-0.00382808217408329
"50",14,"CW","trend",0.122504584400122
"51",15,"CW","trend",0.00012467046877903
"52",16,"CW","trend",-0.000102349685868219
"53",17,"CW","trend",0.00986460091446208
"54",18,"CW","trend",-0.00150157220824615
"55",19,"CW","trend",-0.00420476537676469
"56",20,"CW","trend",-8.4716565061946e-05
"57",21,"CW","trend",-0.160495496282785
"58",22,"CW","trend",-0.338176780964418
"59",23,"CW","trend",-0.00260458362922746
"60",24,"CW","trend",0.238063906771971
"61",25,"CW","trend",6.2424265547892e-05
"62",26,"CW","trend",0.133215112608478
"63",27,"CW","trend",0.0112446384091908
"64",28,"CW","trend",0.0627347780285391
"65",29,"CW","trend",0.180132679711261
"66",30,"CW","trend",2.82264354881799e-05
"67",31,"CW","trend",-0.0427364837732035
"68",32,"CW","trend",2.31483097064636e-05
"69",33,"CW","trend",0.00156183909583473
"70",34,"CW","trend",-7.33241759198063e-06
"71",35,"CW","trend",-0.000105686181063113
"72",36,"CW","trend",-2.88052137132096e-05
