,s1,s2,rgn_id,id,year,area_km2,category
1,Arctocephalus,australis,3,4171,2020,39.5,0.2
2,Arctocephalus,australis,17,1479,2020,52.5,0.2
3,Arctocephalus,australis,36,282,2007,163,0.2
4,Arctocephalus,australis,6,1938,2022,199.2,0.2
5,Arctocephalus,australis,36,391,2007,178.6,0.2
6,Arctocephalus,australis,18,537,1977,109.5,0.2
7,Arctocephalus,australis,36,842,2007,113.2,0.2
8,Arctocephalus,australis,18,295,1977,224.3,0.2
9,Arctocephalus,australis,3,2021,1977,111.8,0.2
10,Arctocephalus,australis,13,1609,2007,135.8,0.2
11,Arctocephalus,australis,23,2128,2022,149.6,0.2
12,Arctocephalus,australis,3,5078,1977,156.2,0.2
13,Arctocephalus,australis,23,1565,1977,121.5,0.2
14,Arctocephalus,australis,3,2135,1977,211.6,0.2
15,Arctocephalus,australis,3,4743,1977,222.3,0.2
16,Arctocephalus,australis,3,4402,1977,161.9,0.2
17,Arctocephalus,australis,3,4510,2008,58.4,0.2
18,Arctocephalus,australis,3,3379,2007,109.6,0.2
19,Arctocephalus,australis,36,281,2007,129.3,0.2
20,Arctocephalus,australis,18,174,1978,190.1,0.2
21,Arctocephalus,australis,18,520,1978,198.5,0.2
22,Arctocephalus,australis,18,747,1978,148.9,0.2
23,Arctocephalus,australis,3,3499,1977,136.4,0.2
24,Arctocephalus,australis,18,297,1976,202.7,0.2
25,Arctocephalus,australis,18,415,1976,223.3,0.2
26,Arctocephalus,australis,18,643,1976,104,0.2
27,Arctocephalus,australis,18,177,1977,224.5,0.2
28,Arctocephalus,australis,3,4177,1977,174,0.2
29,Arctocephalus,australis,23,765,1978,186.8,0.2
30,Arctocephalus,australis,18,293,1978,157.8,0.2
31,Arctocephalus,australis,18,290,1978,177.8,0.2
32,Arctocephalus,australis,18,519,1978,63.2,0.2
33,Arctocephalus,australis,27,702,1998,97.9,0.2
34,Arctocephalus,australis,23,2020,1977,195.3,0.2
35,Arctocephalus,australis,23,3026,1977,87.4,0.2
36,Arctocephalus,australis,8,1502,2002,143.1,0.2
37,Arctocephalus,australis,18,418,1976,189.6,0.2
38,Arctocephalus,australis,18,173,NA,194.9,0.2
39,Arctocephalus,australis,23,1452,NA,175.3,0.2
40,Arctocephalus,australis,27,1604,2014,200.9,0.2
41,Arctocephalus,australis,2,46,2018,203.9,0.2
42,Arctocephalus,australis,23,2129,2016,90.1,0.2
43,Arctocephalus,australis,23,2698,2016,9.3,0.2
44,Arctocephalus,australis,27,1489,2011,64.5,0.2
45,Arctocephalus,australis,8,1611,1998,220.2,0.2
46,Arctocephalus,australis,36,280,1998,224.4,0.2
47,Arctocephalus,australis,8,1612,1998,218.7,0.2
48,Arctocephalus,australis,23,2471,2016,87.1,0.2
49,Arctocephalus,australis,3,4631,2013,205,0.2
50,Arctocephalus,australis,18,970,1978,110.3,0.2
51,Arctocephalus,australis,18,176,1978,223.8,0.2
52,Arctocephalus,australis,18,637,1978,190.8,0.2
53,Arctocephalus,australis,18,1775,2013,105.9,0.2
54,Arctocephalus,gazella,18,525,2008,186.7,0
55,Arctocephalus,gazella,18,184,2008,178.5,0
56,Arctocephalus,gazella,18,639,2008,134.1,0
57,Arctocephalus,gazella,36,169,2008,224.3,0
58,Arctocephalus,gazella,32,3702,2009,65.7,0
59,Arctocephalus,gazella,18,298,2008,212.3,0
60,Arctocephalus,gazella,36,56,2008,81.8,0
61,Arctocephalus,gazella,18,178,2008,223.7,0
62,Arctocephalus,gazella,18,61,2008,209.5,0
63,Arctocephalus,gazella,36,170,2008,222.3,0
64,Arctocephalus,gazella,18,174,2008,190.1,0
65,Arctocephalus,gazella,18,191,2008,12.3,0
66,Arctocephalus,gazella,18,173,2008,194.9,0
67,Arctocephalus,gazella,18,67,2008,143.6,0
68,Arctocephalus,gazella,18,294,2008,224.5,0
69,Arctocephalus,gazella,18,528,2008,220.2,0
70,Arctocephalus,gazella,36,55,2008,44.6,0
