"","Comuna","YearRPA","N_births","CumSum","ind_rate","perct","normperct"
"1","ANCUD",1992,710,710,1,12.5886524822695,0.793952967525196
"2","ANCUD",1993,526,1236,0.425566343042071,9.32624113475177,0.587905935050392
"3","ANCUD",1994,97,1333,0.072768192048012,1.71985815602837,0.107502799552072
"4","ANCUD",1995,42,1375,0.0305454545454545,0.74468085106383,0.0459126539753639
"5","ANCUD",1996,73,1448,0.050414364640884,1.29432624113475,0.0806270996640538
"6","ANCUD",1997,112,1560,0.0717948717948718,1.98581560283688,0.124300111982083
"7","ANCUD",1998,144,1704,0.0845070422535211,2.5531914893617,0.16013437849944
"8","ANCUD",1999,64,1768,0.0361990950226244,1.13475177304965,0.070548712206047
"9","ANCUD",2000,32,1800,0.0177777777777778,0.567375886524823,0.0347144456886898
"10","ANCUD",2001,138,1938,0.0712074303405573,2.4468085106383,0.153415453527436
"11","ANCUD",2002,182,2120,0.0858490566037736,3.22695035460993,0.202687569988802
"12","ANCUD",2003,133,2253,0.0590324012427874,2.35815602836879,0.147816349384099
"13","ANCUD",2004,124,2377,0.0521665965502735,2.19858156028369,0.137737961926092
"14","ANCUD",2005,112,2489,0.0449979911611089,1.98581560283688,0.124300111982083
"15","ANCUD",2006,167,2656,0.0628765060240964,2.96099290780142,0.185890257558791
"16","ANCUD",2007,149,2805,0.0531194295900178,2.64184397163121,0.165733482642777
"17","ANCUD",2008,70,2875,0.0243478260869565,1.24113475177305,0.0772676371780515
"18","ANCUD",2009,174,3049,0.0570678911118399,3.08510638297872,0.193729003359462
"19","ANCUD",2010,92,3141,0.029290035020694,1.63120567375887,0.101903695408735
"20","ANCUD",2011,232,3373,0.068781500148236,4.11347517730496,0.258678611422172
"21","ANCUD",2012,141,3514,0.0401252134319863,2.5,0.156774916013438
"22","ANCUD",2013,134,3648,0.0367324561403509,2.3758865248227,0.148936170212766
"23","ANCUD",2014,150,3798,0.0394944707740916,2.65957446808511,0.166853303471445
"24","ANCUD",2015,267,4065,0.0656826568265683,4.73404255319149,0.297872340425532
"25","ANCUD",2016,894,4959,0.180278281911676,15.8510638297872,1
"26","ANCUD",2017,251,5210,0.0481765834932821,4.45035460992908,0.279955207166853
"27","ANCUD",2018,93,5303,0.0175372430699604,1.64893617021277,0.103023516237402
"28","ANCUD",2019,71,5374,0.0132117603275028,1.25886524822695,0.0783874580067189
"29","ANCUD",2020,67,5441,0.0123139128836611,1.18794326241135,0.0739081746920493
"30","ANCUD",2021,197,5638,0.0349414686058886,3.49290780141844,0.219484882418813
"31","ANCUD",2022,1,5639,0.000177336407164391,0.0177304964539007,0
"32","AYSÉN",1992,239,239,1,15.1649746192893,1
"33","AYSÉN",1993,115,354,0.324858757062147,7.29695431472081,0.478991596638655
"34","AYSÉN",1994,46,400,0.115,2.91878172588833,0.189075630252101
"35","AYSÉN",1995,26,426,0.0610328638497653,1.6497461928934,0.105042016806723
"36","AYSÉN",1996,26,452,0.0575221238938053,1.6497461928934,0.105042016806723
"37","AYSÉN",1997,36,488,0.0737704918032787,2.28426395939086,0.147058823529412
"38","AYSÉN",1998,125,613,0.203915171288744,7.93147208121827,0.521008403361345
"39","AYSÉN",1999,53,666,0.0795795795795796,3.36294416243655,0.218487394957983
"40","AYSÉN",2000,62,728,0.0851648351648352,3.93401015228426,0.256302521008403
"41","AYSÉN",2001,58,786,0.0737913486005089,3.68020304568528,0.239495798319328
"42","AYSÉN",2002,187,973,0.192189105858171,11.8654822335025,0.781512605042017
"43","AYSÉN",2003,100,1073,0.0931966449207828,6.34517766497462,0.415966386554622
"44","AYSÉN",2004,29,1102,0.0263157894736842,1.84010152284264,0.117647058823529
"45","AYSÉN",2005,18,1120,0.0160714285714286,1.14213197969543,0.0714285714285714
"46","AYSÉN",2006,14,1134,0.0123456790123457,0.888324873096447,0.0546218487394958
"47","AYSÉN",2007,13,1147,0.011333914559721,0.824873096446701,0.0504201680672269
"48","AYSÉN",2008,7,1154,0.00606585788561525,0.444162436548223,0.0252100840336134
"49","AYSÉN",2009,25,1179,0.0212044105173876,1.58629441624365,0.100840336134454
"50","AYSÉN",2010,17,1196,0.0142140468227425,1.07868020304569,0.0672268907563025
"51","AYSÉN",2011,14,1210,0.0115702479338843,0.888324873096447,0.0546218487394958
"52","AYSÉN",2012,16,1226,0.0130505709624796,1.01522842639594,0.0630252100840336
"53","AYSÉN",2013,18,1244,0.0144694533762058,1.14213197969543,0.0714285714285714
"54","AYSÉN",2014,23,1267,0.0181531176006314,1.45939086294416,0.092436974789916
"55","AYSÉN",2015,8,1275,0.00627450980392157,0.50761421319797,0.0294117647058824
"56","AYSÉN",2016,15,1290,0.0116279069767442,0.951776649746193,0.0588235294117647
"57","AYSÉN",2017,30,1320,0.0227272727272727,1.90355329949239,0.121848739495798
"58","AYSÉN",2018,65,1385,0.0469314079422383,4.1243654822335,0.26890756302521
"59","AYSÉN",2019,93,1478,0.0629228687415426,5.9010152284264,0.38655462184874
"60","AYSÉN",2020,63,1541,0.0408825438027255,3.99746192893401,0.260504201680672
"61","AYSÉN",2021,32,1573,0.0203432930705658,2.03045685279188,0.130252100840336
"62","AYSÉN",2022,2,1575,0.00126984126984127,0.126903553299492,0.00420168067226891
"63","CABO DE HORNOS(NAVARINO)",1992,41,41,1,14.3356643356643,1
"64","CABO DE HORNOS(NAVARINO)",1993,5,46,0.108695652173913,1.74825174825175,0.1
"65","CABO DE HORNOS(NAVARINO)",1994,13,59,0.220338983050847,4.54545454545455,0.3
"66","CABO DE HORNOS(NAVARINO)",1995,12,71,0.169014084507042,4.1958041958042,0.275
"67","CABO DE HORNOS(NAVARINO)",1996,5,76,0.0657894736842105,1.74825174825175,0.1
"68","CABO DE HORNOS(NAVARINO)",1997,10,86,0.116279069767442,3.4965034965035,0.225
"69","CABO DE HORNOS(NAVARINO)",1998,14,100,0.14,4.89510489510489,0.325
"70","CABO DE HORNOS(NAVARINO)",1999,5,105,0.0476190476190476,1.74825174825175,0.1
"71","CABO DE HORNOS(NAVARINO)",2000,3,108,0.0277777777777778,1.04895104895105,0.05
"72","CABO DE HORNOS(NAVARINO)",2001,14,122,0.114754098360656,4.89510489510489,0.325
"73","CABO DE HORNOS(NAVARINO)",2002,9,131,0.0687022900763359,3.14685314685315,0.2
"74","CABO DE HORNOS(NAVARINO)",2003,14,145,0.096551724137931,4.89510489510489,0.325
"75","CABO DE HORNOS(NAVARINO)",2004,11,156,0.0705128205128205,3.84615384615385,0.25
"76","CABO DE HORNOS(NAVARINO)",2005,9,165,0.0545454545454545,3.14685314685315,0.2
"77","CABO DE HORNOS(NAVARINO)",2006,8,173,0.046242774566474,2.7972027972028,0.175
"78","CABO DE HORNOS(NAVARINO)",2007,9,182,0.0494505494505494,3.14685314685315,0.2
"79","CABO DE HORNOS(NAVARINO)",2008,5,187,0.0267379679144385,1.74825174825175,0.1
"80","CABO DE HORNOS(NAVARINO)",2009,2,189,0.0105820105820106,0.699300699300699,0.025
"81","CABO DE HORNOS(NAVARINO)",2010,3,192,0.015625,1.04895104895105,0.05
"82","CABO DE HORNOS(NAVARINO)",2011,3,195,0.0153846153846154,1.04895104895105,0.05
"83","CABO DE HORNOS(NAVARINO)",2012,2,197,0.0101522842639594,0.699300699300699,0.025
"84","CABO DE HORNOS(NAVARINO)",2013,1,198,0.00505050505050505,0.34965034965035,0
"85","CABO DE HORNOS(NAVARINO)",2014,6,204,0.0294117647058824,2.0979020979021,0.125
"86","CABO DE HORNOS(NAVARINO)",2015,7,211,0.033175355450237,2.44755244755245,0.15
"87","CABO DE HORNOS(NAVARINO)",2016,6,217,0.0276497695852535,2.0979020979021,0.125
"88","CABO DE HORNOS(NAVARINO)",2017,11,228,0.0482456140350877,3.84615384615385,0.25
"89","CABO DE HORNOS(NAVARINO)",2018,15,243,0.0617283950617284,5.24475524475525,0.35
"90","CABO DE HORNOS(NAVARINO)",2019,29,272,0.106617647058824,10.1398601398601,0.7
"91","CABO DE HORNOS(NAVARINO)",2020,11,283,0.03886925795053,3.84615384615385,0.25
"92","CABO DE HORNOS(NAVARINO)",2021,3,286,0.0104895104895105,1.04895104895105,0.05
"93","CALBUCO",1992,390,390,1,8.60737144118296,0.448673587081892
"94","CALBUCO",1993,202,592,0.341216216216216,4.45817700286912,0.231833910034602
"95","CALBUCO",1994,43,635,0.0677165354330709,0.949017876848378,0.0484429065743945
"96","CALBUCO",1995,23,658,0.0349544072948328,0.50761421319797,0.0253748558246828
"97","CALBUCO",1996,16,674,0.0237388724035608,0.353122930920327,0.0173010380622837
"98","CALBUCO",1997,59,733,0.0804911323328786,1.3021408077687,0.0668973471741638
"99","CALBUCO",1998,171,904,0.189159292035398,3.77400132421099,0.196078431372549
"100","CALBUCO",1999,133,1037,0.128254580520733,2.93533436327522,0.152249134948097
"101","CALBUCO",2000,73,1110,0.0657657657657658,1.61112337232399,0.0830449826989619
"102","CALBUCO",2001,177,1287,0.137529137529138,3.90642242330611,0.202998846597463
"103","CALBUCO",2002,80,1367,0.0585223116313094,1.76561465460163,0.091118800461361
"104","CALBUCO",2003,101,1468,0.0688010899182561,2.22908850143456,0.115340253748558
"105","CALBUCO",2004,110,1578,0.0697084917617237,2.42772015007725,0.125720876585928
"106","CALBUCO",2005,65,1643,0.039561777236762,1.43456190686383,0.0738177623990773
"107","CALBUCO",2006,46,1689,0.0272350503256365,1.01522842639594,0.0519031141868512
"108","CALBUCO",2007,66,1755,0.0376068376068376,1.45663209004635,0.0749711649365629
"109","CALBUCO",2008,102,1857,0.0549273021001615,2.25115868461708,0.116493656286044
"110","CALBUCO",2009,94,1951,0.0481804202972834,2.07459721915692,0.107266435986159
"111","CALBUCO",2010,120,2071,0.0579430226943506,2.64842198190245,0.137254901960784
"112","CALBUCO",2011,113,2184,0.0517399267399267,2.49393069962481,0.129181084198385
"113","CALBUCO",2012,177,2361,0.0749682337992376,3.90642242330611,0.202998846597463
"114","CALBUCO",2013,81,2442,0.0331695331695332,1.78768483778415,0.0922722029988466
"115","CALBUCO",2014,85,2527,0.0336367233874159,1.87596557051424,0.0968858131487889
"116","CALBUCO",2015,222,2749,0.0807566387777374,4.89958066651953,0.254901960784314
"117","CALBUCO",2016,868,3617,0.239977882222837,19.1569190024277,1
"118","CALBUCO",2017,295,3912,0.0754089979550102,6.51070403884352,0.339100346020761
"119","CALBUCO",2018,93,4005,0.0232209737827715,2.0525270359744,0.106113033448674
"120","CALBUCO",2019,101,4106,0.0245981490501705,2.22908850143456,0.115340253748558
"121","CALBUCO",2020,116,4222,0.0274751302700142,2.56014124917237,0.132641291810842
"122","CALBUCO",2021,306,4528,0.0675795053003534,6.75347605385125,0.351787773933103
