"";"Comuna";"Year";"Gini_inv"
"1";"ANCUD";1997;0,0588972431077694
"2";"CHAITÉN";1997;NA
"3";"CHONCHI";1997;1
"4";"DALCAHUE";1997;0,233333333333333
"5";"MAULLÍN";1997;NA
"6";"NATALES";1997;0,147959183673469
"7";"PUERTO MONTT";1997;0,229491173416407
"8";"PUNTA ARENAS";1997;0,0484848484848486
"9";"QUELLÓN";1997;0,131445672191529
"10";"QUEMCHI";1997;0,5
"11";"QUINCHAO";1997;0,333333333333333
"12";"SAN JUAN DE LA COSTA";1997;1
"13";"ANCUD";1998;0,0705846342209977
"14";"AYSÉN";1998;0,238095238095238
"15";"CABO DE HORNOS(NAVARINO)";1998;0,0714285714285716
"16";"CALBUCO";1998;0,117991882743436
"17";"CASTRO";1998;NA
"18";"CHAITÉN";1998;0,197008547008547
"19";"CHONCHI";1998;0,363691560412872
"20";"DALCAHUE";1998;0,241379310344827
"21";"HUALAIHUÉ";1998;0,0617760617760618
"22";"MAULLÍN";1998;0,081919622607276
"23";"NATALES";1998;0,236043956043956
"24";"PUERTO MONTT";1998;0,098276994593502
"25";"PUNTA ARENAS";1998;0,0845864661654137
"26";"QUEILÉN";1998;1
"27";"QUELLÓN";1998;0,165935744209833
"28";"QUEMCHI";1998;0,231416549789622
"29";"QUINCHAO";1998;0,5
"30";"ANCUD";1999;0,0943959380414081
"31";"AYSÉN";1999;0,132352941176471
"32";"CABO DE HORNOS(NAVARINO)";1999;0,0200364298724953
"33";"CALBUCO";1999;0,128316167830235
"34";"CASTRO";1999;0,125
"35";"CHAITÉN";1999;0,148484848484848
"36";"CHONCHI";1999;0,125
"37";"CISNES";1999;1
"38";"COCHAMÓ";1999;0,283536585365854
"39";"DALCAHUE";1999;0,200868097419822
"40";"GUAITECAS";1999;0,466265060240964
"41";"HUALAIHUÉ";1999;0,0724637681159419
"42";"MAULLÍN";1999;0,0774185505319149
"43";"NATALES";1999;0,220982142857143
"44";"PORVENIR";1999;0,311111111111111
"45";"PUERTO MONTT";1999;0,0936249913288782
"46";"PUNTA ARENAS";1999;0,0591981325251862
"47";"PUQUELDÓN";1999;1
"48";"QUEILÉN";1999;0,0633903133903133
"49";"QUELLÓN";1999;0,181561883736617
"50";"QUEMCHI";1999;0,146164346164346
"51";"SAN JUAN DE LA COSTA";1999;NA
"52";"ANCUD";2000;0,0793816942551118
"53";"AYSÉN";2000;0,166666666666667
"54";"CABO DE HORNOS(NAVARINO)";2000;0,0845004668534082
"55";"CALBUCO";2000;0,153456669912366
"56";"CASTRO";2000;1
"57";"CHAITÉN";2000;0,282352941176471
"58";"CHONCHI";2000;NA
"59";"COCHAMÓ";2000;0,503759398496241
"60";"DALCAHUE";2000;0,130952380952381
"61";"GUAITECAS";2000;0,516279069767442
"62";"HUALAIHUÉ";2000;0,116666666666667
"63";"MAULLÍN";2000;0,0618109001423433
"64";"NATALES";2000;0,108148148148148
"65";"PORVENIR";2000;0,289179104477612
"66";"PUERTO MONTT";2000;0,087581011325732
"67";"PUNTA ARENAS";2000;0,106548651032637
"68";"PUQUELDÓN";2000;1
"69";"QUEILÉN";2000;0,181774580335731
"70";"QUELLÓN";2000;0,161141739584913
"71";"QUEMCHI";2000;0,186733958183129
"72";"QUINCHAO";2000;1
"73";"SAN JUAN DE LA COSTA";2000;1
"74";"ANCUD";2001;0,0427834028191381
"75";"AYSÉN";2001;1
"76";"CABO DE HORNOS(NAVARINO)";2001;0,123829344432882
"77";"CALBUCO";2001;0,054047954209663
"78";"CASTRO";2001;0,2
"79";"CHAITÉN";2001;0,0281639928698751
"80";"CHONCHI";2001;1
"81";"COCHAMÓ";2001;0,366666666666667
"82";"DALCAHUE";2001;0,121545929798357
