"";"Comuna";"Year";"MeanSust_coef_final";"Sustcoef_norm"
"1";"ANCUD";"1997";25,15;0
"2";"ANCUD";"1998";89,475;0,118523743246985
"3";"ANCUD";"1999";109,475;0,15537527632028
"4";"ANCUD";"2000";71,525;0,085449492313703
"5";"ANCUD";"2001";64,3;0,0721368759909752
"6";"ANCUD";"2002";72,35;0,0869696180529764
"7";"ANCUD";"2003";58,1;0,0607129007382537
"8";"ANCUD";"2004";75,5666666666667;0,0928965729555981
"9";"ANCUD";"2005";65,075;0,0735648728975653
"10";"ANCUD";"2006";93;0,125018825951154
"11";"ANCUD";"2007";156,1;0,2412854127974
"12";"ANCUD";"2008";192,533333333333;0,308416622212586
"13";"ANCUD";"2009";354,966666666667;0,607712489989531
"14";"ANCUD";"2010";527,2991;0,925248208318768
"15";"ANCUD";"2011";567,8682625;1
"16";"ANCUD";"2012";315,847357142857;0,535632163553474
"17";"ANCUD";"2013";249,326185714286;0,413061806104757
"18";"ANCUD";"2014";398,643816666667;0,688190986878144
"19";"ANCUD";"2015";431,838966666667;0,749355595283044
"20";"ANCUD";"2016";396,0792;0,683465484082545
"21";"ANCUD";"2017";342,102114285714;0,58400856611254
"22";"ANCUD";"2018";422,397;0,731958047938363
"23";"ANCUD";"2019";392,775857142857;0,677378821654923
"24";"ANCUD";"2020";380,10994;0,654040898430242
"25";"ANCUD";"2021";291,6455;0,491038386606716
"26";"AYSÉN";"1998";12,6;0,015932335262263
"27";"AYSÉN";"1999";15,1;0,0193660282067162
"28";"AYSÉN";"2000";9,9;0,0122239468822535
"29";"AYSÉN";"2002";1;0
"30";"AYSÉN";"2003";4,63333333333333;0,00499030041260536
"31";"AYSÉN";"2004";28,7;0,0380453178245418
"32";"AYSÉN";"2005";15,3;0,0196407236422725
"33";"AYSÉN";"2006";20,28;0,0264806399876233
"34";"AYSÉN";"2007";26,175;0,034577287950644
"35";"AYSÉN";"2008";24,6666666666667;0,0325056265408239
"36";"AYSÉN";"2009";247,06;0,337957794364865
"37";"AYSÉN";"2010";113,85412;0,155002558238591
"38";"AYSÉN";"2011";266,63466;0,364843143137693
"39";"AYSÉN";"2012";327,535425;0,448488953974615
"40";"AYSÉN";"2013";416,139414285714;0,570184511118922
"41";"AYSÉN";"2014";429,677557142857;0,58877884136275
"42";"AYSÉN";"2015";729,07908;1
"43";"AYSÉN";"2016";359,1134;0,491860581957663
"44";"AYSÉN";"2017";340,679816666667;0,4665424759446
"45";"AYSÉN";"2018";120,513416666667;0,164148950230333
"46";"AYSÉN";"2019";182,7535;0,249634284231872
"47";"AYSÉN";"2020";252,155583333333;0,344956461780681
"48";"AYSÉN";"2021";396,04954;0,542591527282998
"49";"CABO DE HORNOS(NAVARINO)";"1998";11,2;0,0123651098993303
"50";"CABO DE HORNOS(NAVARINO)";"1999";6,3;0,00618255494966517
"51";"CABO DE HORNOS(NAVARINO)";"2000";35,7;0,0432778846476562
"52";"CABO DE HORNOS(NAVARINO)";"2001";21,7;0,0256134419343271
"53";"CABO DE HORNOS(NAVARINO)";"2002";9,1;0,00971544349233098
"54";"CABO DE HORNOS(NAVARINO)";"2003";2,1;0,000883222135666453
"55";"CABO DE HORNOS(NAVARINO)";"2004";7,7;0,00794899922099808
