" ","score","status","future"
"Index",74.21,,77.45
"Food Provision",19.89,18.01,21.78
". Fisheries",20.32,18.32,22.33
". Mariculture",18.55,17.04,20.05
"Artisanal Fishing Opportunity",77.01,69.32,84.7
"Natural Products",50,46.56,53.44
"Carbon Storage",,,
"Coastal Protection",,,
"Tourism & Recreation",100,100,100
"Coastal Livelihoods & Economies",100,100,100
". Livelihoods",100,100,100
". Economies",100,100,100
"Sense of Place",82.31,81.54,83.08
". Iconic Species",64.62,63.08,66.17
". Lasting Special Places",100,100,100
"Clean Waters",78.22,70.83,85.61
"Biodiversity",86.25,81.53,90.98
". Habitats",90.24,84.01,96.47
". Species",82.27,79.05,85.48
