region_id,region_name,flower_png
0,OHI+ Patagonia Chilena,comunas/reports/figures/flower_OHI+PatagoniaChilena.png
33,San Juan de la Costa,comunas/reports/figures/flower_SanJuandelaCosta.png
35,Torres del Paine,comunas/reports/figures/flower_TorresdelPaine.png
10,Curaco de Velez,comunas/reports/figures/flower_CuracodeVelez.png
1,Ancud,comunas/reports/figures/flower_Ancud.png
2,Aysen,comunas/reports/figures/flower_Aysen.png
3,Cabo de Hornos,comunas/reports/figures/flower_CabodeHornos.png
4,Calbuco,comunas/reports/figures/flower_Calbuco.png
5,Castro,comunas/reports/figures/flower_Castro.png
6,Chaiten,comunas/reports/figures/flower_Chaiten.png
7,Chonchi,comunas/reports/figures/flower_Chonchi.png
8,Cisnes,comunas/reports/figures/flower_Cisnes.png
9,Cochamo,comunas/reports/figures/flower_Cochamo.png
11,Dalcahue,comunas/reports/figures/flower_Dalcahue.png
18,Natales,comunas/reports/figures/flower_Natales.png
12,Fresia,comunas/reports/figures/flower_Fresia.png
13,Guaitecas,comunas/reports/figures/flower_Guaitecas.png
14,Hualaihue,comunas/reports/figures/flower_Hualaihue.png
15,Laguna Blanca,comunas/reports/figures/flower_LagunaBlanca.png
16,Los Muermos,comunas/reports/figures/flower_LosMuermos.png
17,Maullin,comunas/reports/figures/flower_Maullin.png
19,Porvenir,comunas/reports/figures/flower_Porvenir.png
20,Primavera,comunas/reports/figures/flower_Primavera.png
21,Puerto Montt,comunas/reports/figures/flower_PuertoMontt.png
22,Puerto Varas,comunas/reports/figures/flower_PuertoVaras.png
23,Punta Arenas,comunas/reports/figures/flower_PuntaArenas.png
24,Puqueldon,comunas/reports/figures/flower_Puqueldon.png
25,Purranque,comunas/reports/figures/flower_Purranque.png
26,Queilen,comunas/reports/figures/flower_Queilen.png
27,Quellon,comunas/reports/figures/flower_Quellon.png
28,Quemchi,comunas/reports/figures/flower_Quemchi.png
29,Quinchao,comunas/reports/figures/flower_Quinchao.png
30,Rio Negro,comunas/reports/figures/flower_RioNegro.png
31,Rio Verde,comunas/reports/figures/flower_RioVerde.png
32,San Gregorio,comunas/reports/figures/flower_SanGregorio.png
34,Timaukel,comunas/reports/figures/flower_Timaukel.png
36,Tortel,comunas/reports/figures/flower_Tortel.png
